"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_factor_2008"
"1","ACassis brasil",120005,"1200054",0.588,"AC","assis brasil","Acre",7.78336150688378,5.39412742139401,0,5559,0,5559,1,"Não","Feminino",0,"38",0.0165289256198347,0,0.896694214876033,0.115207373271889,1,1,1,0,"AC","Assis Brasil","assis brasil","10088522.97",16.1269089960842,0.632718891845622
"2","ACbujari",120013,"1200138",0.589,"AC","bujari","Acre",7.72661398152059,3.10548313751311,0,6745,1,6745,0,"Não","Masculino",0,"53",0.152727272727273,0.00490196078431373,0.741818181818182,0.343137254901961,1,1,1,0,"AC","Bujari","bujari","11265433.98",16.2372496557402,0.671981341604945
"3","ACcapixaba",120017,"1200179",0.575,"AC","capixaba","Acre",7.7023302521722,4.22083035949488,0,8897,1,8897,1,"Sim","Masculino",1,"32",0.0737913486005089,0.00563380281690141,0.903307888040712,0.0929577464788732,0,0,0,1,"AC","Capixaba","capixaba","9428848.78",16.0592845665633,0.665573373911079
"4","ACcruzeiro do sul",120020,"1200203",0.664,"AC","cruzeiro do sul","Acre",7.95113670665083,6.38723279223728,0,76392,0,76392,0,"Não","Masculino",0,"50",0.230998509687034,0,0.889716840536513,0.102177554438861,0,0,0,1,"AC","Cruzeiro do Sul","cruzeiro do sul","57644030.72",17.8697972558665,0.746272872653066
"5","ACmanoel urbano",120034,"1200344",0.551,"AC","manoel urbano","Acre",7.79987216368387,5.31379693739642,0,7405,0,7405,1,"Sim","Masculino",0,"55",0.0305555555555556,0,0.844444444444444,0.161184210526316,0,0,0,1,"AC","Manoel Urbano","manoel urbano","12280928.2",16.323558064146,0.633644839903923
"6","ACmarechal thaumaturgo",120035,"1200351",0.501,"AC","marechal thaumaturgo","Acre",7.9383563570337,6.32507555144816,0,13728,0,13728,0,"Não","Masculino",0,"28",0.0114285714285714,0,0.855238095238095,0.169265033407572,1,1,1,0,"AC","Marechal Thaumaturgo","marechal thaumaturgo","21171553.54",16.8681690244526,0.622557341529593
"7","ACporto acre",120080,"1200807",0.576,"AC","porto acre","Acre",7.71137886668269,3.96385615406816,0,14309,0,14309,1,"Não","Masculino",0,"46",0.137123745819398,0,0.879598662207358,0.136882129277567,0,0,0,1,"AC","Porto Acre","porto acre","12774673.47",16.3629751336491,0.692543668027027
"8","ACporto walter",120039,"1200393",0.532,"AC","porto walter","Acre",7.94517987067008,6.3525074376634,0,8562,0,8562,0,"Sim","Masculino",0,"58",0.0102389078498294,0,0.938566552901024,0.04,1,1,1,0,"AC","Porto Walter","porto walter","12040860.15",16.3038164363231,0.639881644200187
"9","ACrio branco",120040,"1200401",0.727,"AC","rio branco","Acre",7.71780065940226,0,0,301398,1,301398,1,"Sim","Masculino",0,"54",0.329072739948873,0.00326141495233317,0.926330467115966,0.0735072754641244,1,1,1,0,"AC","Rio Branco","rio branco","369993185.6",19.7289951461356,0.801312165847963
"10","ACrodrigues alves",120042,"1200427",0.567,"AC","rodrigues alves","Acre",7.94875611002499,6.37424086696145,0,13020,0,13020,0,"Não","Masculino",0,"48",0.0653266331658292,0,0.969849246231156,0.0310880829015544,0,0,0,1,"AC","Rodrigues Alves","rodrigues alves","13695843.85",16.4326029761596,0.669821160190056
"11","ACsanta rosa do purus",120043,"1200435",0.517,"AC","santa rosa do purus","Acre",7.84226699585861,5.70438229472817,0,4165,0,4165,0,"Não","Masculino",0,"47",0.0398009950248756,0,0.985074626865672,0.0151515151515152,1,1,1,0,"AC","Santa Rosa do Purus","santa rosa do purus","10320827.23",16.149674472751,0.658733783538957
"12","ACsenador guiomard",120045,"1200450",0.64,"AC","senador guiomard","Acre",7.71159374138471,3.05305734017326,0,19506,1,19506,0,"Não","Masculino",0,"29",0.204702627939142,0,0.885200553250346,0.1296875,0,0,0,1,"AC","Senador Guiomard","senador guiomard","21554170.54",16.8860798843281,0.728753071033078
"13","ACsena madureira",120050,"1200500",0.603,"AC","sena madureira","Acre",7.77039625798951,4.92194978926357,0,35544,0,35544,1,"Sim","Masculino",0,"48",0.111278195488722,0,0.950375939849624,0.0522151898734177,0,0,0,1,"AC","Sena Madureira","sena madureira","43187280.21",17.5810565702752,0.690830535214725
"14","ACxapuri",120070,"1200708",0.599,"AC","xapuri","Acre",7.7395812067775,4.67208089127072,0,14848,0,14848,1,"Não","Masculino",1,"45",0.172489082969432,0.0101781170483461,0.858078602620087,0.129770992366412,0,0,0,1,"AC","Xapuri","xapuri","13854204.84",16.4440993430769,0.711831468202595
"15","ALanadia",270020,"2700201",0.568,"AL","anadia","Alagoas",7.26606588449684,4.13356527537538,0,17765,0,17765,0,"Não","Feminino",1,"44",0.184412733260154,0,0.830954994511526,0.0409511228533686,1,0,0,0,"AL","Anadia","anadia","17152332.24",16.6576447130009,0.73049951119604
"16","ALarapiraca",270030,"2700300",0.649,"AL","arapiraca","Alagoas",7.23933700509894,4.6243844049119,0,208447,0,208447,1,"Sim","Masculino",0,"50",0.344594594594595,0,0.902871621621622,0.0528531337698784,0,0,0,1,"AL","Arapiraca","arapiraca","227287925.8",19.2417281673063,0.81230696940821
"17","ALatalaia",270040,"2700409",0.561,"AL","atalaia","Alagoas",7.29144501521246,3.59621576925052,0,51903,0,51903,0,"Sim","Masculino",0,"52",0.069910897875257,0,0.947909527073338,0.0549530007230658,0,0,0,1,"AL","Atalaia","atalaia","37692300.2",17.4449663928319,0.668896851838258
"18","ALbatalha",270070,"2700706",0.594,"AL","batalha","Alagoas",7.21048604963544,5.02631177348126,0,16735,1,16735,0,"Sim","Masculino",1,"30",0.103494623655914,0.00431034482758621,0.935483870967742,0.0632183908045977,0,0,0,1,"AL","Batalha","batalha","17754312.62",16.6921390088816,0.685194365029279
"19","ALbelo monte",270090,"2700904",0.517,"AL","belo monte","Alagoas",7.19323492787872,5.13738541243255,0,7452,0,7452,0,"Não","Masculino",0,"47",0.110091743119266,0.0720338983050847,0.7217125382263,0.203389830508475,0,0,0,1,"AL","Belo Monte","belo monte","9483918.71",16.0651081548528,0.668336674388486
"20","ALboca da mata",270100,"2701001",0.604,"AL","boca da mata","Alagoas",7.27328688663116,3.97480999352691,0,25882,1,25882,1,"Sim","Masculino",1,"47",0.224422442244224,0.018796992481203,0.877887788778878,0.112781954887218,0,0,0,1,"AL","Boca da Mata","boca da mata","27990952.25",17.1473918819919,0.741142200898038
"21","ALbranquinha",270110,"2701100",0.513,"AL","branquinha","Alagoas",7.30162677345392,4.02356438016105,0,12142,0,12142,0,"Não","Feminino",1,"41",0.100977198697068,0,0.985342019543974,0.0148760330578512,0,0,0,1,"AL","Branquinha","branquinha","14038092.84",16.4572851097283,0.690646701297349
"22","ALcacimbinhas",270120,"2701209",0.531,"AL","cacimbinhas","Alagoas",7.2315402284142,4.94705631245338,0,10131,0,10131,0,"Não","Masculino",0,"57",0.369393139841689,0.00864553314121038,0.9155672823219,0.0461095100864553,1,0,0,0,"AL","Cacimbinhas","cacimbinhas","10094239.84",16.12747550625,0.826057068120534
"23","ALcajueiro",270130,"2701308",0.562,"AL","cajueiro","Alagoas",7.28691747866925,4.00423748941596,0,20670,0,20670,0,"Sim","Masculino",0,"38",0.109619686800895,0,0.992170022371365,0.00789177001127396,0,0,0,1,"AL","Cajueiro","cajueiro","23985541.47",16.9929617680231,0.69611923516517
"24","ALcampestre",270135,"2701357",0.559,"AL","campestre","Alagoas",7.34449293039441,4.53259949315326,0,6187,0,6187,0,"Não","Masculino",0,"55",0.189526184538653,0.0506329113924051,0.591022443890274,0.371308016877637,0,0,0,1,"AL","Campestre","campestre","8324804.78",15.934750143706,0.68667903991827
"25","ALcampo alegre",270140,"2701407",0.57,"AL","campo alegre","Alagoas",7.25917946177058,4.23018578513351,0,46671,1,46671,0,"Sim","Masculino",1,"61",0.189224704336399,0.0480132450331126,0.793692509855453,0.0413907284768212,0,0,0,1,"AL","Campo Alegre","campo alegre","34957425.48",17.3696414641635,0.732352381062701
"26","ALcampo grande",270150,"2701506",0.524,"AL","campo grande","Alagoas",7.22210605904229,4.78982235812033,0,9845,0,9845,0,"Sim","Masculino",0,"49",0.3715953307393,0.0783410138248848,0.844357976653696,0.0460829493087558,0,0,0,1,"AL","Campo Grande","campo grande","12286198.24",16.3239870960145,0.826346951326238
"27","ALcanapi",270160,"2701605",0.506,"AL","canapi","Alagoas",7.20228882638302,5.36466674708957,0,18313,0,18313,0,"Sim","Masculino",1,"37",0.0939306358381503,0,0.965317919075145,0.0359281437125748,0,0,0,1,"AL","Canapi","canapi","20004909.96",16.8114882993886,0.68405284026913
"28","ALcapela",270170,"2701704",0.573,"AL","capela","Alagoas",7.29168345675965,3.84929617551984,0,17504,1,17504,0,"Sim","Masculino",1,"58",0.100113765642776,0.0201729106628242,0.789533560864619,0.015850144092219,0,0,0,1,"AL","Capela","capela","21013162.96",16.8606596069449,0.68981233075188
"30","ALcoqueiro seco",270220,"2702207",0.586,"AL","coqueiro seco","Alagoas",7.30074286557919,2.089391872533,0,5493,0,5493,0,"Não","Masculino",1,"42",0.267741935483871,0,0.861290322580645,0.161048689138577,0,0,0,1,"AL","Coqueiro Seco","coqueiro seco","7614755.78",15.8455984728844,0.757245022610473
"31","ALcoruripe",270230,"2702306",0.626,"AL","coruripe","Alagoas",7.25827129560529,4.25362491986936,0,52584,1,52584,1,"Sim","Masculino",1,"29",0.197663971248877,0.0448760884125921,0.670709793351303,0.340924313462827,0,0,0,1,"AL","Coruripe","coruripe","76059831.44",18.1470308443168,0.695207979410774
"32","ALdelmiro gouveia",270240,"2702405",0.612,"AL","delmiro gouveia","Alagoas",7.16303295432489,5.52102082103384,0,47991,1,47991,1,"Não","Masculino",0,"57",0.130892956184138,0,0.657237936772047,0.370464135021097,0,0,0,1,"AL","Delmiro Gouveia","delmiro gouveia","54747785.69",17.8182474818247,0.656872137214272
"33","ALdois riachos",270250,"2702504",0.532,"AL","dois riachos","Alagoas",7.22435274284761,5.0293916225787,0,11196,0,11196,0,"Não","Feminino",0,"39",0.229885057471264,0,0.934865900383142,0.069672131147541,0,0,0,1,"AL","Dois Riachos","dois riachos","11437846.31",16.2524382665775,0.750205027663489
"34","ALestrela de alagoas",270255,"2702553",0.534,"AL","estrela de alagoas","Alagoas",7.24736544429428,4.75806293209123,0,17180,0,17180,0,"Não","Masculino",0,"54",0.242494226327945,0,0.967667436489607,0.0334128878281623,0,0,0,1,"AL","Estrela de Alagoas","estrela de alagoas","15763814.97",16.573227679725,0.761808181795296
"36","ALfeliz deserto",270270,"2702702",0.565,"AL","feliz deserto","Alagoas",7.24329136326374,4.53870981928782,0,4503,1,4503,0,"Não","Masculino",1,"30",0.140540540540541,0,0.82972972972973,0.205211726384365,0,0,0,1,"AL","Feliz Deserto","feliz deserto","10298134.46",16.1474733164072,0.684838629085417
"37","ALflexeiras",270280,"2702801",0.527,"AL","flexeiras","Alagoas",7.31963973889248,3.77849161280362,0,12271,0,12271,0,"Não","Masculino",1,"46",0.0801630434782609,0,1,0,0,0,0,1,"AL","Flexeiras","flexeiras","16312455.79",16.6074395328519,0.681866931587595
"38","ALgirau do ponciano",270290,"2702900",0.536,"AL","girau do ponciano","Alagoas",7.22250032323361,4.80655880549927,0,36250,1,36250,1,"Sim","Masculino",1,"26",0.100553505535055,0,0.967712177121771,0.0333651096282174,0,0,0,1,"AL","Girau do Ponciano","girau do ponciano","31754508.04",17.2735452587358,0.687859350372212
"39","ALibateguara",270300,"2703007",0.518,"AL","ibateguara","Alagoas",7.31686042078867,4.38502214365368,0,15805,1,15805,0,"Sim","Feminino",1,"45",0.0975975975975976,0.0606060606060606,0.743243243243243,0.127272727272727,0,0,0,1,"AL","Ibateguara","ibateguara","15886116.59",16.5809561153148,0.672534383346796
"40","ALigaci",270310,"2703106",0.564,"AL","igaci","Alagoas",7.24977637786709,4.60116216459055,0,25860,0,25860,0,"Não","Masculino",1,"28",0.195338512763596,0,0.964483906770255,0.0368239355581128,0,0,0,1,"AL","Igaci","igaci","22557776.06",16.9315904008342,0.736765099816096
"41","ALigreja nova",270320,"2703205",0.568,"AL","igreja nova","Alagoas",7.22465143407231,4.73312355029855,0,23606,0,23606,0,"Sim","Masculino",1,"66",0.245508982035928,0.0318181818181818,0.790419161676647,0.121212121212121,0,0,0,1,"AL","Igreja Nova","igreja nova","24454147.31",17.0123103836315,0.750797785513125
"43","ALjaramataia",270370,"2703700",0.552,"AL","jaramataia","Alagoas",7.21978112269842,4.93368225292813,0,6112,0,6112,0,"Sim","Masculino",0,"54",0.304878048780488,0,0.981707317073171,0.0186335403726708,1,0,0,0,"AL","Jaramataia","jaramataia","8942085.02",16.0062793436709,0.796363685611154
"44","ALjoaquim gomes",270380,"2703809",0.531,"AL","joaquim gomes","Alagoas",7.32273497945889,4.08227198098783,0,22366,0,22366,1,"Não","Masculino",0,"40",0.0217755443886097,0,0.981574539363484,0.0187713310580205,0,0,0,1,"AL","Joaquim Gomes","joaquim gomes","20688797.25",16.8451029160842,0.64883948041785
"45","ALjunqueiro",270400,"2704005",0.575,"AL","junqueiro","Alagoas",7.24522701593643,4.45608996297394,0,25175,1,25175,1,"Não","Masculino",0,"28",0.162668665667166,0,0.986506746626687,0.0113981762917933,0,0,0,1,"AL","Junqueiro","junqueiro","28600719.13",17.1689424198796,0.723272630313056
"47","ALlimoeiro de anadia",270420,"2704203",0.58,"AL","limoeiro de anadia","Alagoas",7.25050065539644,4.43781605631592,0,26236,0,26236,0,"Não","Masculino",1,"42",0.299154334038055,0,0.978858350951374,0.0215982721382289,0,0,0,1,"AL","Limoeiro de Anadia","limoeiro de anadia","22674492.82",16.9367511863504,0.79296990041181
"48","ALmajor isidoro",270440,"2704401",0.566,"AL","major isidoro","Alagoas",7.2262817347289,4.92623867745751,0,19369,0,19369,1,"Não","Masculino",0,"54",0.166032953105196,0,0.901140684410646,0.109704641350211,0,1,0,0,"AL","Major Isidoro","major isidoro","19446655.83",16.783185676485,0.71137894161718
"49","ALmaragogi",270450,"2704500",0.574,"AL","maragogi","Alagoas",7.35949946461103,4.52135369989498,0,26520,1,26520,1,"Sim","Masculino",1,"47",0.428438661710037,0.0108342361863489,0.857806691449814,0.085590465872156,0,0,0,1,"AL","Maragogi","maragogi","33185878.44",17.3176349952077,0.851313929913312
"50","ALmaravilha",270460,"2704609",0.569,"AL","maravilha","Alagoas",7.21447498031106,5.21210566972897,0,10452,1,10452,0,"Não","Masculino",1,"48",0.0238095238095238,0.0173697270471464,0.95952380952381,0.0248138957816377,0,0,0,1,"AL","Maravilha","maravilha","13801090.97",16.4402582027998,0.648845802552037
"51","ALmarechal deodoro",270470,"2704708",0.642,"AL","marechal deodoro","Alagoas",7.29213974347906,2.90197089373952,0,46565,0,46565,1,"Não","Masculino",0,"36",0.24988055422838,0.002088772845953,0.914954610606785,0.0454308093994778,0,0,0,1,"AL","Marechal Deodoro","marechal deodoro","67781383.21",18.0317981312823,0.763962585368793
"52","ALmaribondo",270480,"2704807",0.597,"AL","maribondo","Alagoas",7.27010409601667,4.14741128315879,0,14249,0,14249,0,"Não","Masculino",1,"41",0.147350993377483,0,0.937086092715232,0.0671378091872792,0,0,0,1,"AL","Maribondo","maribondo","15466408.39",16.5541810294665,0.707554058245416
"53","ALmar vermelho",270490,"2704906",0.577,"AL","mar vermelho","Alagoas",7.26965156794351,4.32532399930409,0,4129,0,4129,0,"Não","Feminino",0,"44",0.167582417582418,0,0.854395604395604,0.170418006430868,0,0,0,1,"AL","Mar Vermelho","mar vermelho","7537192.83",15.8353603669484,0.703758227109232
"55","ALmessias",270520,"2705200",0.568,"AL","messias","Alagoas",7.30753089927259,3.51393065164939,0,15547,0,15547,0,"Não","Feminino",0,"49",0.0993710691823899,0.0919811320754717,0.533333333333333,0.0259433962264151,1,0,0,0,"AL","Messias","messias","19231385.86",16.7720541825709,0.6871369310268
"56","ALmurici",270550,"2705507",0.527,"AL","murici","Alagoas",7.30391051776452,3.82820651933504,0,26731,1,26731,0,"Sim","Masculino",1,"29",0.112582781456954,0.0486187845303867,0.749172185430464,0.0298342541436464,0,0,0,1,"AL","Murici","murici","27638930.63",17.1347358668968,0.694016341204295
"57","ALnovo lino",270560,"2705606",0.521,"AL","novo lino","Alagoas",7.33710617021626,4.43153082957697,0,12266,0,12266,0,"Não","Masculino",0,"50",0.205047318611987,0,0.8801261829653,0.136200716845878,1,0,0,0,"AL","Novo Lino","novo lino","14045209.15",16.45779190983,0.728028521737053
"58","ALouro branco",270610,"2706109",0.547,"AL","ouro branco","Alagoas",7.21712056226506,5.22778760035751,0,11381,0,11381,0,"Não","Masculino",0,"39",0.034324942791762,0.0119904076738609,0.954233409610984,0.0191846522781775,0,0,0,1,"AL","Ouro Branco","ouro branco","11848797.47",16.2877369410711,0.655172562502832
"59","ALpariconha",270642,"2706422",0.548,"AL","pariconha","Alagoas",7.16878788795913,5.53445611335706,0,10505,0,10505,1,"Sim","Masculino",0,"52",0.143181818181818,0.0451807228915663,0.754545454545455,0.147590361445783,0,0,0,1,"AL","Pariconha","pariconha","12950056.62",16.376610718301,0.693655338210419
"61","ALpaulo jacinto",270660,"2706604",0.589,"AL","paulo jacinto","Alagoas",7.27406367188911,4.34652898232072,0,7752,0,7752,0,"Sim","Masculino",1,"46",0.164383561643836,0,0.938356164383562,0.0656934306569343,0,0,0,1,"AL","Paulo Jacinto","paulo jacinto","10477112.27",16.1647036521315,0.716629052054911
"62","ALpenedo",270670,"2706703",0.63,"AL","penedo","Alagoas",7.22371863897181,4.75522678219477,0,60750,1,60750,0,"Não","Masculino",1,"53",0.146477445514445,0.031328320802005,0.808920425747592,0.178571428571429,0,0,0,1,"AL","Penedo","penedo","70183843.4",18.0666286915101,0.691242940777278
"63","ALpindoba",270700,"2707008",0.574,"AL","pindoba","Alagoas",7.27504073184813,4.1658897293852,0,3218,0,3218,0,"Não","Masculino",1,"53",0.10738255033557,0,0.832214765100671,0.201612903225806,0,0,0,1,"AL","Pindoba","pindoba","6541391.66",15.6936604928453,0.66806187739576
"64","ALpiranhas",270710,"2707107",0.589,"AL","piranhas","Alagoas",7.16857219307411,5.40137022160412,0,24651,0,24651,0,"Não","Feminino",1,"25",0.205855443732845,0,0.89295516925892,0.0891393442622951,1,0,0,0,"AL","Piranhas","piranhas","35958612.8",17.3978791906278,0.734982487207399
"65","ALporto calvo",270730,"2707305",0.586,"AL","porto calvo","Alagoas",7.34760248994943,4.36093067137915,0,25870,0,25870,0,"Sim","Masculino",0,"39",0.0976027397260274,0.0272020725388601,0.660958904109589,0.187823834196891,0,0,0,1,"AL","Porto Calvo","porto calvo","28610547.18",17.169285990324,0.664544319984603
"67","ALquebrangulo",270760,"2707602",0.559,"AL","quebrangulo","Alagoas",7.26932422771918,4.4939033735595,0,11607,1,11607,1,"Sim","Masculino",1,"49",0.260550458715596,0,0.913761467889908,0.0903614457831325,0,0,0,1,"AL","Quebrangulo","quebrangulo","16725858.95",16.6324665199095,0.763310617396057
"68","ALrio largo",270770,"2707701",0.643,"AL","rio largo","Alagoas",7.30333165433993,3.20193310413789,0,67359,1,67359,1,"Não","Masculino",1,"29",0.157762096774194,0,0.840221774193548,0.190161967606479,0,0,0,1,"AL","Rio Largo","rio largo","53585038.58",17.7967804561066,0.695900746295888
"69","ALroteiro",270780,"2707800",0.505,"AL","roteiro","Alagoas",7.28221120021596,3.48031658611475,0,6881,0,6881,1,"Sim","Masculino",0,"32",0.31044776119403,0,0.758208955223881,0.18503937007874,0,0,0,1,"AL","Roteiro","roteiro","9366395.99",16.0526389473535,0.776165757351608
"70","ALsanta luzia do norte",270790,"2707909",0.597,"AL","santa luzia do norte","Alagoas",7.30077661686596,2.4706386779903,0,7468,0,7468,1,"Não","Feminino",1,"32",0.105154639175258,0.0482233502538071,0.812371134020619,0.147208121827411,0,0,0,1,"AL","Santa Luzia do Norte","santa luzia do norte","9698904.65",16.087523514417,0.67385747714209
"71","ALsantana do ipanema",270800,"2708006",0.591,"AL","santana do ipanema","Alagoas",7.21524733164424,5.1278848541465,0,43527,1,43527,0,"Sim","Feminino",1,"62",0.246006389776358,0.0163934426229508,0.649627263045793,0.0885245901639344,0,0,0,1,"AL","Santana do Ipanema","santana do ipanema","38431722.71",17.4643937887546,0.75578512786532
"72","ALsatuba",270890,"2708907",0.66,"AL","satuba","Alagoas",7.30209877054979,2.71137799119488,0,14584,0,14584,0,"Não","Masculino",1,"45",0.266558966074313,0,0.880452342487884,0.0275229357798165,0,0,0,1,"AL","Satuba","satuba","21497361.77",16.8834407771965,0.775164272510946
"73","ALsenador rui palmeira",270895,"2708956",0.518,"AL","senador rui palmeira","Alagoas",7.19844532294822,5.28523212699938,0,13015,0,13015,0,"Sim","Masculino",0,"68",0.103508771929825,0,0.985964912280702,0.0142348754448399,0,0,0,1,"AL","Senador Rui Palmeira","senador rui palmeira","13573583.29",16.4236360566439,0.692054731931555
"74","ALtaquarana",270910,"2709103",0.541,"AL","taquarana","Alagoas",7.25466570480345,4.42556493668836,0,18695,1,18695,0,"Sim","Masculino",1,"51",0.34958217270195,0,0.942896935933148,0.0605612998522895,0,0,0,1,"AL","Taquarana","taquarana","21883589.44",16.9012475732514,0.813835627710779
"75","ALtraipu",270920,"2709202",0.532,"AL","traipu","Alagoas",7.20679263547205,4.96291455788484,0,25650,1,25650,0,"Não","Masculino",1,"48",0.193661971830986,0,0.779929577464789,0.282167042889391,1,0,0,0,"AL","Traipu","traipu","25767717",17.0646329873188,0.701833834013211
"76","AManori",130010,"1300102",0.561,"AM","anori","Amazonas",7.60482973767997,5.27079199548328,0,14386,0,14386,0,"Não","Feminino",0,"30",0.204225352112676,0,0.563380281690141,0.6375,0,0,0,1,"AM","Anori","anori","16827316.34",16.6385140965302,0.658011506935907
"77","AMatalaia do norte",130020,"1300201",0.45,"AM","atalaia do norte","Amazonas",7.91689498255305,7.03605174324802,0,14292,0,14292,0,"Não","Feminino",0,"54",0.0873015873015873,0.129770992366412,0.207936507936508,0.175572519083969,0,0,0,1,"AM","Atalaia do Norte","atalaia do norte","21051428.68",16.8624789865734,0.659610368778424
"78","AMautazes",130030,"1300300",0.577,"AM","autazes","Amazonas",7.51094492871831,4.72366408003588,0,31107,0,31107,0,"Não","Masculino",1,"48",0.0591715976331361,0,0.464919695688926,0.0909090909090909,0,0,0,1,"AM","Autazes","autazes","31515444.65",17.2659882899842,0.658310039274866
"79","AMbarcelos",130040,"1300409",0.5,"AM","barcelos","Amazonas",7.7522835934294,5.99053911903148,0,25318,0,25318,0,"Não","Masculino",0,"53",0.0779352226720648,0.0154711673699015,0.719635627530364,0.0857946554149086,0,0,0,1,"AM","Barcelos","barcelos","24799686.45",17.0263415679101,0.6686052580803
"80","AMbarreirinha",130050,"1300508",0.574,"AM","barreirinha","Amazonas",7.47130617137101,5.79891081974778,0,27664,0,27664,0,"Não","Masculino",0,"46",0.281368821292776,0.0674603174603175,0.638783269961977,0.113095238095238,0,0,0,1,"AM","Barreirinha","barreirinha","27684099.21",17.1363687705959,0.770168197202161
"81","AMbenjamin constant",130060,"1300607",0.574,"AM","benjamin constant","Amazonas",7.91098305174973,7.02046770301059,0,30476,0,30476,0,"Sim","Masculino",0,"46",0.0806686046511628,0.0745233968804159,0.419331395348837,0.124783362218371,0,0,0,1,"AM","Benjamin Constant","benjamin constant","42467756.4",17.5642556730155,0.663887451335871
"82","AMberuri",130063,"1300631",0.506,"AM","beruri","Amazonas",7.58901204794873,5.15807781013345,0,14374,0,14374,0,"Não","Masculino",0,"50",0.25130890052356,0.0592,0.818062827225131,0.0496,0,0,0,1,"AM","Beruri","beruri","17426651",16.6735112590464,0.763422332241059
"83","AMboa vista do ramos",130068,"1300680",0.565,"AM","boa vista do ramos","Amazonas",7.4809752517908,5.60130668306696,0,13677,0,13677,1,"Não","Masculino",0,"38",0.221009549795362,0.179624664879357,0.508867667121419,0.450402144772118,0,1,0,0,"AM","Boa Vista do Ramos","boa vista do ramos","12205698.32",16.3174134760676,0.690509321979696
"84","AMboca do acre",130070,"1300706",0.588,"AM","boca do acre","Amazonas",7.72010670702056,6.93646906410308,0,30858,0,30858,0,"Não","Feminino",0,"51",0.234877734877735,0.00515021459227468,0.74967824967825,0.0935622317596567,0,0,0,1,"AM","Boca do Acre","boca do acre","27668813.37",17.1358164657694,0.749426378896804
"85","AMborba",130080,"1300805",0.56,"AM","borba","Amazonas",7.49386275706108,5.01582182078356,0,32160,0,32160,1,"Sim","Masculino",0,"47",0.154162384378212,0,0.431654676258993,0.030952380952381,1,0,0,0,"AM","Borba","borba","39120432.21",17.4821554513827,0.716126145730063
"86","AMcaapiranga",130083,"1300839",0.569,"AM","caapiranga","Amazonas",7.60438140100151,4.89657033780828,0,10958,0,10958,1,"Não","Masculino",0,"53",0.113378684807256,0.155172413793103,0.657596371882086,0.0258620689655172,1,0,0,0,"AM","Caapiranga","caapiranga","15691821.56",16.5686502148475,0.693665775732589
"88","AMcarauari",130100,"1301001",0.549,"AM","carauari","Amazonas",7.78297398508083,6.66878717732096,0,25950,0,25950,1,"Não","Masculino",0,"60",0.301991150442478,0.0871261378413524,0.850663716814159,0.0689206762028609,0,0,0,1,"AM","Carauari","carauari","32914445.75",17.3094221999151,0.78680222573064
"89","AMcareiro",130110,"1301100",0.557,"AM","careiro","Amazonas",7.55297192578453,4.42268861639277,0,32190,0,32190,1,"Não","Masculino",0,"51",0.0975609756097561,0,0.723577235772358,0.267166042446941,0,0,0,1,"AM","Careiro","careiro","29556192.74",17.2018038480495,0.653844661322843
"90","AMcoari",130120,"1301209",0.586,"AM","coari","Amazonas",7.65485072636914,5.89346575622588,0,67055,0,67055,1,"Não","Masculino",0,"33",0.154471544715447,0.0559345156889495,0.541759053954176,0.200545702592087,0,0,0,1,"AM","Coari","coari","205661191.1",19.1417406693463,0.692053659995691
"91","AMenvira",130150,"1301506",0.509,"AM","envira","Amazonas",7.85413671045031,7.09588493605907,0,17148,0,17148,0,"Não","Masculino",1,"44",0.198863636363636,0.0701754385964912,0.809659090909091,0.0894736842105263,0,0,0,1,"AM","Envira","envira","19408849.77",16.7812396937293,0.730425985847906
"92","AMfonte boa",130160,"1301605",0.53,"AM","fonte boa","Amazonas",7.8144602135527,6.51762695878419,0,19783,0,19783,1,"Sim","Masculino",0,"72",0.462745098039216,0.00628930817610063,0.935294117647059,0.0628930817610063,0,0,0,1,"AM","Fonte Boa","fonte boa","25056365.63",17.036638470179,0.872395572401724
"93","AMipixuna",130180,"1301803",0.481,"AM","ipixuna","Amazonas",7.92400717622148,7.2187924846315,0,17850,0,17850,0,"Não","Feminino",0,"61",0.268421052631579,0,0.726315789473684,0.376811594202899,0,0,0,1,"AM","Ipixuna","ipixuna","17615261.24",16.6842762001897,0.72764735483607
"94","AMiranduba",130185,"1301852",0.613,"AM","iranduba","Amazonas",7.5657881037512,3.29879544804407,0,33834,0,33834,1,"Sim","Masculino",1,"62",0.186624203821656,0.285524568393094,0.479617834394904,0.207171314741036,0,0,0,1,"AM","Iranduba","iranduba","38348784.53",17.4622333911423,0.705049437015264
"95","AMitacoatiara",130190,"1301902",0.644,"AM","itacoatiara","Amazonas",7.50447966100703,5.16820868120102,0,87896,0,87896,1,"Não","Masculino",0,"54",0.26975259377494,0.00460962258715068,0.923383878691141,0.045231921636416,0,0,0,1,"AM","Itacoatiara","itacoatiara","118556051.1",18.5908964117711,0.774312986077091
