"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_factor_2008"
"2860","SPnhandeara",353260,"3532603",0.751,"SP","nhandeara","São Paulo",6.38010558760358,6.15852440098528,0,10726,0,10726,1,"Não","Masculino",0,"59",0.182758620689655,0.0583657587548638,0.886206896551724,0.0622568093385214,1,0,0,0,"SP","Nhandeara","nhandeara","16983412.86",16.647747711584,0.725958867646824
"2861","SPnova campina",353282,"3532827",0.651,"SP","nova campina","São Paulo",6.83843735467124,5.47780156852183,0,9091,1,9091,1,"Não","Masculino",0,"43",0.206827309236948,0.0558659217877095,0.718875502008032,0.23463687150838,0,0,0,1,"SP","Nova Campina","nova campina","16255317.13",16.6039306212192,0.714601039009285
"2862","SPnova castilho",353286,"3532868",0.756,"SP","nova castilho","São Paulo",6.41314743323898,6.19750263051925,0,1111,0,1111,1,"Sim","Masculino",0,"39",0.165644171779141,0,0.895705521472393,0.116438356164384,1,0,0,0,"SP","Nova Castilho","nova castilho","10062553.6",16.1243315274028,0.71024162212529
"2863","SPnova europa",353290,"3532900",0.765,"SP","nova europa","São Paulo",6.50763585719872,5.63060227711469,0,9840,0,9840,1,"Não","Masculino",1,"60",0.298474945533769,0,0.917211328976035,0.0902612826603325,1,0,0,0,"SP","Nova Europa","nova europa","16667806.29",16.6289896497867,0.783084341152674
"2864","SPnova granada",353300,"3533007",0.739,"SP","nova granada","São Paulo",6.30711435089378,6.07336706272762,0,18543,0,18543,0,"Sim","Masculino",1,"49",0.266009852216749,0,0.784893267651888,0.125523012552301,0,1,0,0,"SP","Nova Granada","nova granada","23175076.35",16.9585879639091,0.761274113685226
"2865","SPnova guataporanga",353310,"3533106",0.726,"SP","nova guataporanga","São Paulo",6.59455024929927,6.34647811172005,0,2176,0,2176,0,"Sim","Masculino",0,"67",0.116022099447514,0.00609756097560976,0.906077348066298,0.0792682926829268,1,0,0,0,"SP","Nova Guataporanga","nova guataporanga","6415617.99",15.6742458865439,0.689471483960698
"2866","SPnovais",353325,"3533254",0.719,"SP","novais","São Paulo",6.37818846439691,5.91003754841225,0,3908,0,3908,0,"Sim","Masculino",0,"49",0.385026737967914,0.00584795321637427,0.914438502673797,0.0818713450292398,0,0,0,1,"SP","Novais","novais","9600851.98",16.0773624004169,0.829272878539091
"2867","SPnova odessa",353340,"3533403",0.791,"SP","nova odessa","São Paulo",6.66054954131717,4.69143962114027,0,48170,1,48170,1,"Sim","Masculino",1,"66",0.121974830590513,0,0.926427879961278,0.0585161964472309,0,0,0,1,"SP","Nova Odessa","nova odessa","82536385.96",18.2287497960139,0.695529124438029
"2868","SPnovo horizonte",353350,"3533502",0.753,"SP","novo horizonte","São Paulo",6.47223809699397,5.86400042559874,0,35942,1,35942,1,"Não","Masculino",0,"67",0.192379182156134,0.105540897097625,0.704460966542751,0.0580474934036939,0,0,0,1,"SP","Novo Horizonte","novo horizonte","65368759.64",17.9955550209558,0.730972864983372
"2869","SPnuporanga",353360,"3533601",0.746,"SP","nuporanga","São Paulo",6.31128098568245,5.81009253934962,0,6945,0,6945,0,"Sim","Masculino",1,"53",0.209090909090909,0.0171821305841924,0.881818181818182,0.0378006872852234,0,0,0,1,"SP","Nuporanga","nuporanga","17494329.89",16.6773873801067,0.743582614014504
"2870","SPonda verde",353400,"3534005",0.738,"SP","onda verde","São Paulo",6.3218648151539,6.05504948873309,0,3953,0,3953,0,"Sim","Masculino",0,"45",0.258928571428571,0.0155440414507772,0.861607142857143,0.124352331606218,0,0,0,1,"SP","Onda Verde","onda verde","12197767.28",16.3167634831191,0.757554985064224
"2871","SPoriente",353410,"3534104",0.77,"SP","oriente","São Paulo",6.61222918917396,5.95713186802748,0,6341,0,6341,0,"Sim","Masculino",1,"58",0.16875,0,0.725,0.379310344827586,0,0,0,1,"SP","Oriente","oriente","7982150.55",15.8927184256006,0.675368814546888
"2872","SPosasco",353440,"3534401",0.776,"SP","osasco","São Paulo",6.76880350832922,2.77196352684586,0,713066,1,713066,1,"Sim","Masculino",1,"50",0.281684476617258,0,0.890095369412846,0.123475117795133,0,1,0,0,"SP","Osasco","osasco","1016243226",20.7393785531214,0.769725355311056
"2873","SPoscar bressane",353450,"3534500",0.749,"SP","oscar bressane","São Paulo",6.64350323377731,5.98524524729407,0,2540,0,2540,0,"Não","Masculino",0,"41",0.220512820512821,0.0571428571428571,0.717948717948718,0.235714285714286,0,0,0,1,"SP","Oscar Bressane","oscar bressane","6793556.7",15.731485176825,0.721566267650745
"2874","SPosvaldo cruz",353460,"3534609",0.762,"SP","osvaldo cruz","São Paulo",6.60391672396225,6.1693805804855,0,31317,1,31317,1,"Não","Masculino",1,"53",0.187350835322196,0.107309486780715,0.767303102625298,0.0746500777604977,0,0,0,1,"SP","Osvaldo Cruz","osvaldo cruz","33685026.39",17.3325639758114,0.726026371079659
"2875","SPourinhos",353470,"3534708",0.778,"SP","ourinhos","São Paulo",6.71651002416714,5.81847927129101,0,103631,1,103631,1,"Sim","Masculino",1,"52",0.415286624203822,0,0.884076433121019,0.0922190201729107,1,0,0,0,"SP","Ourinhos","ourinhos","163369734.1",18.9115264974076,0.84367503743603
"2876","SPouroeste",353475,"3534757",0.77,"SP","ouroeste","São Paulo",6.28366763435369,6.31289565960614,0,7482,0,7482,0,"Sim","Masculino",0,"65",0.276767676767677,0,0.884848484848485,0.13013698630137,0,0,0,1,"SP","Ouroeste","ouroeste","35763905.08",17.3924497047683,0.766238772926205
"2877","SPouro verde",353480,"3534807",0.692,"SP","ouro verde","São Paulo",6.6183784378876,6.34256146273265,0,8074,0,8074,1,"Não","Masculino",0,"53",0.20679012345679,0,0.851851851851852,0.173913043478261,1,0,0,0,"SP","Ouro Verde","ouro verde","13330405.19",16.4055580885421,0.72370147324587
"2878","SPpacaembu",353490,"3534906",0.725,"SP","pacaembu","São Paulo",6.59625854176432,6.26095719035955,0,13672,0,13672,0,"Sim","Masculino",0,"69",0.145679012345679,0,0.975308641975309,0.0253164556962025,0,0,0,1,"SP","Pacaembu","pacaembu","18631253.8",16.7403510403669,0.712488409931034
"2879","SPpalestina",353500,"3535002",0.732,"SP","palestina","São Paulo",6.28534611292753,6.11895586012253,0,11153,0,11153,0,"Não","Masculino",1,"69",0.259541984732824,0.0674157303370786,0.905852417302799,0.0140449438202247,0,0,0,1,"SP","Palestina","palestina","18156484.92",16.7145383507279,0.772546139131624
"2880","SPpalmares paulista",353510,"3535101",0.722,"SP","palmares paulista","São Paulo",6.39154853626367,5.86689289585493,0,11444,1,11444,0,"Não","Masculino",0,"40",0.278145695364238,0,0.960264900662252,0.0413793103448276,0,0,0,1,"SP","Palmares Paulista","palmares paulista","14604005.46",16.4968063956278,0.779277816326703
"2881","SPpalmital",353530,"3535309",0.746,"SP","palmital","São Paulo",6.70375237119531,5.92897725409616,0,22190,1,22190,1,"Sim","Masculino",0,"55",0.303120356612184,0,0.87221396731055,0.0425894378194208,0,0,0,1,"SP","Palmital","palmital","36092629.36",17.4015992296038,0.792122393945081
"2882","SPpanorama",353540,"3535408",0.722,"SP","panorama","São Paulo",6.61412220103692,6.37930864645874,0,14502,0,14502,1,"Sim","Masculino",0,"47",0.184761904761905,0.0680272108843537,0.84,0.0770975056689342,1,0,0,0,"SP","Panorama","panorama","21646286",16.8903444503527,0.724823117967429
"2883","SPparaibuna",353560,"3535606",0.719,"SP","paraibuna","São Paulo",6.77812483916637,4.61482344301623,0,16863,1,16863,1,"Não","Masculino",1,"46",0.205508474576271,0.241206030150754,0.632415254237288,0.120603015075377,1,0,0,0,"SP","Paraibuna","paraibuna","29184280.64",17.189140788038,0.727453487063198
"2884","SPparanapanema",353580,"3535804",0.717,"SP","paranapanema","São Paulo",6.74540104180419,5.36410510708604,0,17558,0,17558,0,"Não","Masculino",0,"60",0.248009101251422,0.00235571260306243,0.965870307167236,0.032979976442874,0,0,0,1,"SP","Paranapanema","paranapanema","44129819.81",17.602646298074,0.764712586876307
"2885","SPpardinho",353610,"3536109",0.727,"SP","pardinho","São Paulo",6.70094018978004,5.21992329912002,0,5285,0,5285,0,"Sim","Masculino",1,"40",0.233128834355828,0,0.898773006134969,0.112627986348123,0,0,0,1,"SP","Pardinho","pardinho","14890211.11",16.5162145825315,0.745932141910727
"2886","SPparisi",353625,"3536257",0.721,"SP","parisi","São Paulo",6.30846267389382,6.21770330332949,0,2132,0,2132,0,"Não","Feminino",0,"32",0.142857142857143,0.020979020979021,0.888198757763975,0.104895104895105,0,0,0,1,"SP","Parisi","parisi","8474591.4",15.9525829976792,0.69971204531923
"2887","SPpaulo de faria",353660,"3536604",0.725,"SP","paulo de faria","São Paulo",6.20869062465815,6.18014086953994,0,9378,0,9378,0,"Não","Masculino",1,"54",0.267156862745098,0,0.926470588235294,0.0793650793650794,1,0,0,0,"SP","Paulo de Faria","paulo de faria","20664283.86",16.8439173505973,0.768279236299614
"2888","SPpederneiras",353670,"3536703",0.739,"SP","pederneiras","São Paulo",6.60142031803115,5.54607547862617,0,42661,1,42661,0,"Sim","Feminino",1,"42",0.21505376344086,0,0.889247311827957,0.0725513905683192,0,0,0,1,"SP","Pederneiras","pederneiras","49627832.08",17.7200623649654,0.742077779642002
"2889","SPpedra bela",353680,"3536802",0.677,"SP","pedra bela","São Paulo",6.67865653062925,4.45713410716069,0,6097,0,6097,0,"Sim","Masculino",0,"41",0.188284518828452,0,0.916317991631799,0.091324200913242,1,0,0,0,"SP","Pedra Bela","pedra bela","9360795.94",16.0520408811632,0.725524202319431
"2890","SPpedregulho",353700,"3537008",0.715,"SP","pedregulho","São Paulo",6.2148480696268,5.92980188671588,0,15717,0,15717,0,"Sim","Masculino",1,"62",0.134180790960452,0,0.946327683615819,0.0462686567164179,1,0,0,0,"SP","Pedregulho","pedregulho","23979815.15",16.9927229990268,0.703588967567893
"2891","SPpedreira",353710,"3537107",0.769,"SP","pedreira","São Paulo",6.66138148279648,4.5393508449508,0,40269,0,40269,1,"Sim","Masculino",0,"52",0.265232974910394,0,0.932795698924731,0.0720461095100865,0,0,0,1,"SP","Pedreira","pedreira","66208549.87",18.0083201646826,0.768292827522729
"2892","SPpedrinhas paulista",353715,"3537156",0.774,"SP","pedrinhas paulista","São Paulo",6.73092263053118,6.07016019405632,0,2923,0,2923,0,"Não","Masculino",0,"45",0.177664974619289,0.106508875739645,0.857868020304569,0.0591715976331361,1,0,0,0,"SP","Pedrinhas Paulista","pedrinhas paulista","9409084.81",16.0571862496586,0.723138306464633
"2893","SPpedro de toledo",353720,"3537206",0.696,"SP","pedro de toledo","São Paulo",6.85372139048965,4.61591228251999,0,10163,1,10163,0,"Não","Masculino",0,"52",0.130742049469965,0.00442477876106195,0.798586572438163,0.13716814159292,0,0,0,1,"SP","Pedro de Toledo","pedro de toledo","16587198.34",16.6241417714738,0.689124229337433
"2894","SPpereira barreto",353740,"3537404",0.766,"SP","pereira barreto","São Paulo",6.45515139241627,6.33333291268807,0,24821,0,24821,1,"Não","Masculino",1,"53",0.238095238095238,0,0.821768707482993,0.0728476821192053,1,0,0,0,"SP","Pereira Barreto","pereira barreto","42728251.58",17.5703708889267,0.754041963569823
"2895","SPpereiras",353750,"3537503",0.736,"SP","pereiras","São Paulo",6.69862557342835,4.98743490092582,0,7910,0,7910,1,"Não","Masculino",1,"47",0.21505376344086,0.00793650793650794,0.903225806451613,0.0952380952380952,0,0,0,1,"SP","Pereiras","pereiras","13022780.07",16.3822106949934,0.738830414873179
"2896","SPpiacatu",353770,"3537701",0.732,"SP","piacatu","São Paulo",6.55777218033298,6.13417864930716,0,5398,1,5398,1,"Não","Masculino",0,"43",0.248945147679325,0,0.894514767932489,0.0660377358490566,0,0,0,1,"SP","Piacatu","piacatu","11790165.84",16.2827763385724,0.760640433561368
"2897","SPpiedade",353780,"3537800",0.716,"SP","piedade","São Paulo",6.78395920116863,4.41546141076012,0,49607,0,49607,1,"Não","Masculino",1,"43",0.228682170542636,0.0034443168771527,0.843992248062015,0.119402985074627,1,0,0,0,"SP","Piedade","piedade","52007405.36",17.7668966771755,0.742632249713009
