code_muni;ADM_DIRETA;SI;EF;EM;ES;POS_GRAD;ESTATUTARIOS;ESTATUTARIOS_SI;ESTATUTARIOS_EF;ESTATUTARIOS_EM;ESTATUTARIOS_ES;ESTATUTARIOS_POS;CLT;CLT_SI;CLT_EF;CLT_EM;CLT_ES;CLT_POS;COMISSIONADOS;COMISSIONADOS_SI;COMISSIONADOS_EF;COMISSIONADOS_EM;COMISSIONADOS_ES;COMISSIONADOS_POS;SEMVINC;SEMVINC_SI;SEMVINC_EF;SEMVINC_EF;SEMVINC_ES;SEMVINC_POS
110149;579;0;408;131;40;0;309;0;202;81;26;0;76;0;29;40;7;0;189;0;172;10;7;0;5;0;5;0;0;0
110150;419;0;222;110;62;25;351;0;180;85;61;25;39;0;26;13;0;0;29;0;16;12;1;0;0;0;0;0;0;0
110155;269;1;152;71;9;36;202;1;109;54;5;33;0;0;0;0;0;0;35;0;23;10;0;2;32;0;20;7;4;1
110160;483;0;66;234;115;68;411;0;52;180;111;68;0;0;0;0;0;0;72;0;14;54;4;0;0;0;0;0;0;0
110170;287;0;78;110;99;0;257;0;67;94;96;0;25;0;10;15;0;0;5;0;1;1;3;0;0;0;0;0;0;0
110175;380;0;170;99;84;27;337;0;152;79;80;26;1;0;0;0;1;0;42;0;18;20;3;1;0;0;0;0;0;0
110180;362;0;149;83;95;35;281;0;104;54;88;35;28;0;26;2;0;0;46;0;18;24;4;0;7;0;1;3;3;0
120001;380;26;69;204;81;0;0;0;0;0;0;0;329;26;69;155;79;0;49;0;0;49;0;0;2;0;0;0;2;0
120005;242;0;99;139;4;0;0;0;0;0;0;0;217;0;99;114;4;0;25;0;0;25;0;0;0;0;0;0;0;0
120010;716;84;106;431;55;40;0;0;0;0;0;0;602;65;75;411;22;29;43;0;4;5;26;8;70;19;26;15;7;3
120013;275;5;68;158;23;21;0;0;0;0;0;0;204;5;68;89;23;19;70;0;0;69;0;1;1;0;0;0;0;1
120017;393;78;103;178;30;4;0;0;0;0;0;0;355;75;88;163;25;4;33;0;15;15;3;0;5;3;0;0;2;0
120020;1342;0;455;509;295;83;1194;0;401;483;240;70;0;0;0;0;0;0;122;0;54;0;55;13;20;0;0;20;0;0
120025;432;42;79;164;99;48;0;0;0;0;0;0;376;42;76;121;89;48;47;0;3;43;1;0;9;0;0;0;9;0
120030;923;69;170;260;424;0;765;35;100;250;380;0;106;34;40;10;22;0;19;0;0;0;19;0;3;0;0;0;3;0
120032;605;0;289;300;6;10;0;0;0;0;0;0;499;0;231;259;3;6;66;0;36;27;3;0;40;0;22;14;0;4
120033;403;56;34;246;40;27;266;54;30;122;36;24;0;0;0;0;0;0;15;0;1;9;2;3;122;2;3;115;2;0
120034;360;36;77;234;12;1;0;0;0;0;0;0;304;31;54;208;10;1;49;4;22;21;2;0;7;1;1;5;0;0
120035;525;0;230;285;9;1;449;0;190;253;5;1;0;0;0;0;0;0;76;0;40;32;4;0;0;0;0;0;0;0
120038;694;12;94;465;95;28;0;0;0;0;0;0;524;12;91;323;72;26;27;0;1;13;11;2;143;0;2;129;12;0
120039;293;0;133;153;6;1;275;0;132;140;2;1;0;0;0;0;0;0;11;0;0;7;4;0;7;0;1;6;0;0
