habilitado;UF;municipio;inova5
Sim;SP;santa rosa de viterbo;santa rosa de viterbo
Sim;SP;capivari;capivari
Sim;SP;angatuba;angatuba
Sim;SP;dois corregos;dois corregos
Sim;SP;itupeva;itupeva
Sim;SP;itarare;itarare
Sim;SP;serra negra;serra negra
Sim;SP;jaborandi;jaborandi
Sim;SP;fernandopolis;fernandopolis
Sim;SP;sao sebastiao;sao sebastiao
Sim;SP;ipua;ipua
Sim;SP;peruibe;peruibe
Sim;SP;cristais paulista;cristais paulista
Sim;SP;jales;jales
Sim;SP;santana de parnaiba;santana de parnaiba
Sim;SC;sao jose;sao jose
Sim;SC;rio dos cedros;rio dos cedros
Sim;SC;itajai;itajai
Sim;SC;rio do sul;rio do sul
Sim;RR;boa vista;boa vista
Sim;RS;salvador do sul;salvador do sul
Sim;RS;rosario do sul;rosario do sul
Sim;RS;tres passos;tres passos
Sim;RS;passo fundo;passo fundo
Sim;RS;alegrete;alegrete
Sim;RS;torres;torres
Não;RS;roca sales;roca sales
Sim;RS;gravatai;gravatai
Sim;RS;cruzaltense;cruzaltense
Sim;RS;esteio;esteio
Sim;RS;gramado;gramado
Sim;RS;dois irmaos;dois irmaos
Sim;RS;erechim;erechim
Sim;RS;pelotas;pelotas
Sim;RS;crissiumal;crissiumal
Sim;RS;cangucu;cangucu
Sim;RS;turucu;turucu
Sim;RS;santo angelo;santo angelo
Sim;RS;dom pedrito;dom pedrito
Sim;RS;girua;girua
Sim;RS;sao francisco de assis;sao francisco de assis
Sim;RS;novo tiradentes;novo tiradentes
Sim;RS;sao leopoldo;sao leopoldo
Sim;RS;fazenda vilanova;fazenda vilanova
Sim;RJ;bom jardim;bom jardim
Sim;RJ;pirai;pirai
Não;RJ;porto real;porto real
Sim;RJ;mesquita;mesquita
Sim;RJ;sao jose do vale do rio preto;sao jose do vale do rio preto
Sim;RJ;tangua;tangua
Sim;RJ;niteroi;niteroi
Sim;RJ;barra do pirai;barra do pirai
Sim;RJ;rio claro;rio claro
Sim;RJ;rio bonito;rio bonito
Sim;RJ;petropolis;petropolis
Sim;RJ;quissama;quissama
Sim;RJ;volta redonda;volta redonda
Sim;RJ;teresopolis;teresopolis
Sim;RJ;paracambi;paracambi
Sim;PI;luzilandia;luzilandia
Sim;PI;batalha;batalha
Sim;PE;santa maria da boa vista;santa maria da boa vista
Sim;PE;trindade;trindade
Sim;PE;belem do sao francisco;belem do sao francisco
Sim;PE;agrestina;agrestina
Sim;PE;cupira;cupira
Sim;PE;vicencia;vicencia
Sim;PE;santa filomena;santa filomena
Sim;PE;afogados da ingazeira;afogados da ingazeira
Sim;PE;cabo de santo agostinho;cabo de santo agostinho
Sim;PE;serra talhada;serra talhada
Sim;PE;sao bento do una;sao bento do una
Sim;PE;cha grande;cha grande
Sim;PE;olinda;olinda
Sim;PE;bezerros;bezerros
Sim;PE;nazare da mata;nazare da mata
Sim;PE;limoeiro;limoeiro
Sim;PE;iguaracy;iguaracy
Sim;PE;jatoba;jatoba
Sim;PE;joao alfredo;joao alfredo
Sim;PE;venturosa;venturosa
Sim;PE;sao vicente ferrer;sao vicente ferrer
Sim;PE;pedra;pedra
Sim;PE;pesqueira;pesqueira
Sim;PE;petrolina;petrolina
Sim;PR;curitiba;curitiba
Sim;PB;bananeiras;bananeiras
Sim;PA;paragominas;paragominas
Sim;PA;pau d'arco;pau d'arco
Sim;PA;tailandia;tailandia
Sim;MG;santos dumont;santos dumont
Sim;MG;janauba;janauba
Sim;MG;santo antonio do monte;santo antonio do monte
Sim;MG;barbacena;barbacena
Sim;MG;muriae;muriae
Sim;MG;contagem;contagem
Sim;MG;perdigao;perdigao
Sim;MG;governador valadares;governador valadares
Sim;MG;franciscopolis;franciscopolis
Sim;MG;tres marias;tres marias
Sim;MG;congonhas;congonhas
Sim;MS;chapadao do sul;chapadao do sul
Sim;MS;campo grande;campo grande
Sim;MS;rio brilhante;rio brilhante
Sim;MS;corumba;corumba
Sim;MS;maracaju;maracaju
Sim;MS;itaquirai;itaquirai
Sim;MT;araputanga;araputanga
Sim;MT;nova olimpia;nova olimpia
Sim;MA;alcantara;alcantara
Sim;MA;central do maranhao;central do maranhao
Sim;MA;barra do corda;barra do corda
Sim;MA;imperatriz;imperatriz
Sim;MA;porto franco;porto franco
Sim;MA;pedreiras;pedreiras
Sim;GO;quirinopolis;quirinopolis
Sim;GO;mineiros;mineiros
Sim;GO;anapolis;anapolis
Sim;GO;rio verde;rio verde
Sim;GO;goianesia;goianesia
Sim;GO;parauna;parauna
Sim;ES;jaguare;jaguare
Sim;ES;aracruz;aracruz
Sim;ES;cachoeiro de itapemirim;cachoeiro de itapemirim
Sim;ES;vitoria;vitoria
Sim;ES;boa esperanca;boa esperanca
Sim;ES;muqui;muqui
Sim;ES;nova venecia;nova venecia
Sim;ES;mucurici;mucurici
Sim;CE;capistrano;capistrano
Sim;CE;santana do acarau;santana do acarau
Sim;CE;vicosa do ceara;vicosa do ceara
Sim;CE;sobral;sobral
Não;CE;granjeiro;granjeiro
Sim;CE;fortaleza;fortaleza
Sim;CE;maracanau;maracanau
Sim;CE;itapaje;itapaje
Sim;CE;oros;oros
Sim;CE;taua;taua
Sim;CE;jaguaretama;jaguaretama
Sim;BA;camacari;camacari
Sim;BA;santo antonio de jesus;santo antonio de jesus
Sim;AL;maragogi;maragogi
Sim;AL;santana do ipanema;santana do ipanema
Sim;SE;frei paulo;frei paulo
Sim;SE;porto da folha;porto da folha
Sim;SE;brejo grande;brejo grande
Sim;SE;laranjeiras;laranjeiras
Sim;SP;santo andre;santo andre
Sim;SP;presidente epitacio;presidente epitacio
Sim;SP;cotia;cotia
Sim;SP;martinopolis;martinopolis
Sim;SP;sao jose dos campos;sao jose dos campos
Sim;SP;bocaina;bocaina
Sim;SP;suzano;suzano
Sim;SP;sao carlos;sao carlos
Sim;SP;praia grande;praia grande
Sim;SP;jandira;jandira
Sim;SP;presidente prudente;presidente prudente
Sim;SP;ibitinga;ibitinga
Sim;SP;ribeirao do sul;ribeirao do sul
Sim;SP;pirapora do bom jesus;pirapora do bom jesus
Sim;SP;cravinhos;cravinhos
Sim;SP;itaquaquecetuba;itaquaquecetuba
Sim;SP;santa barbara do oeste;santa barbara do oeste
Sim;SP;lencois paulista;lencois paulista
Sim;SP;jacarei;jacarei
Sim;SP;caraguatatuba;caraguatatuba
Sim;SP;paraibuna;paraibuna
Sim;SP;sud mennucci;sud mennucci
Sim;SP;santos;santos
Sim;SP;salesopolis;salesopolis
Sim;SP;aracatuba;aracatuba
Sim;SP;osvaldo cruz;osvaldo cruz
Sim;SP;sorocaba;sorocaba
Sim;SP;guarani d´oeste;guarani d´oeste
Sim;SP;valinhos;valinhos
Sim;SP;jardinopolis;jardinopolis
Sim;SP;colina;colina
Sim;SP;aracariguama;aracariguama
Sim;SP;igaracu do tiete;igaracu do tiete
Sim;SP;barretos;barretos
Sim;SP;sao joao da boa vista;sao joao da boa vista
Sim;SP;campo limpo paulista;campo limpo paulista
Sim;SP;pinheiros;pinheiros
Sim;SP;santa fe do sul;santa fe do sul
Sim;SP;pilar do sul;pilar do sul
Sim;SP;indaiatuba;indaiatuba
Sim;SP;rio grande da serra;rio grande da serra
Sim;SP;votorantim;votorantim
Sim;SP;garca;garca
Sim;SP;jaboticabal;jaboticabal
Sim;SP;santa cruz do rio pardo;santa cruz do rio pardo
Sim;SP;taquaritinga;taquaritinga
Sim;SP;bariri;bariri
Sim;SP;itapecerica da serra;itapecerica da serra
Sim;SP;itapetininga;itapetininga
Sim;SP;ilha solteira;ilha solteira
Sim;SP;miguelopolis;miguelopolis
Sim;SP;itai;itai
Sim;SP;ribeirao preto;ribeirao preto
Sim;SP;sao jose do rio preto;sao jose do rio preto
Sim;SP;macatuba;macatuba
Sim;SP;cruzeiro;cruzeiro
Sim;SP;tatui;tatui
Sim;SP;piraju;piraju
Sim;SP;guaira;guaira
Sim;SP;mogi das cruzes;mogi das cruzes
Sim;SP;amparo;amparo
Sim;SP;lins;lins
Sim;SP;piracicaba;piracicaba
Sim;SP;boituva;boituva
Sim;SP;porto ferreira;porto ferreira
Sim;SP;sao bernardo do campo;sao bernardo do campo
Sim;SP;sao sebastiao da grama;sao sebastiao da grama
Sim;SP;jundiai;jundiai
Sim;SP;itanhaem;itanhaem
Sim;SP;fartura;fartura
Sim;SP;sertaozinho;sertaozinho
Sim;SP;novo horizonte;novo horizonte
Sim;SP;hortolandia;hortolandia
Sim;SP;porto feliz;porto feliz
Sim;SP;cajuru;cajuru
Sim;SP;batatais;batatais
Sim;SP;taboao da serra;taboao da serra
Sim;SP;itatiba;itatiba
Sim;SP;ilhabela;ilhabela
Sim;SP;maua;maua
Sim;SP;embu;embu
Sim;SC;blumenau;blumenau
Sim;RS;balneario pinhal;balneario pinhal
Sim;RS;osorio;osorio
Sim;RS;sao borja;sao borja
Sim;RS;rio grande;rio grande
Sim;RS;tupandi;tupandi
Sim;RS;condor;condor
Sim;RS;farroupilha;farroupilha
Sim;RS;porto alegre;porto alegre
Sim;RS;cruz alta;cruz alta
Sim;RS;santa cruz do sul;santa cruz do sul
Sim;PE;moreno;moreno
Sim;PE;lajedo;lajedo
Sim;PE;lagoa grande;lagoa grande
Sim;PE;ipojuca;ipojuca
Sim;PE;santa cruz do capibaribe;santa cruz do capibaribe
Sim;PE;petrolandia;petrolandia
Sim;PE;buique;buique
Sim;MG;joao monlevade;joao monlevade
Sim;MG;cachoeira de minas;cachoeira de minas
Sim;MG;itabirito;itabirito
Sim;MG;santa luzia;santa luzia
Sim;MG;itajuba;itajuba
Sim;MG;uberaba;uberaba
Sim;MT;campo verde;campo verde
Sim;SE;nossa senhora aparecida;nossa senhora aparecida
Sim;SE;caninde de sao francisco;caninde de sao francisco
Sim;SE;neopolis;neopolis
Sim;SE;itaporanga d'ajuda;itaporanga d'ajuda
Sim;SP;osasco;osasco
Sim;SE;estancia;estancia
