habilitado;UF;municipio;inova5
Sim;TO;wanderlandia;wanderlandia
Sim;TO;tocantinopolis;tocantinopolis
Sim;TO;miranorte;miranorte
Sim;TO;guarai;guarai
Sim;TO;riachinho;riachinho
Sim;SP;jarinu;jarinu
Não;SP;sao lourenco da serra;sao lourenco da serra
Sim;SP;taquarivai;taquarivai
Sim;SP;igarapava;igarapava
Não;SP;presidente prudente;presidente prudente
Não;SP;salmourao;salmourao
Não;SP;guapiara;guapiara
Não;SP;sao simao;sao simao
Não;SP;barueri;barueri
Não;SP;catanduva;catanduva
Não;SP;cunha;cunha
Sim;SC;saudades;saudades
Não;SC;icara;icara
Sim;SC;catanduvas;catanduvas
Sim;SC;joinville;joinville
Sim;RR;rorainopolis;rorainopolis
Não;RS;vera cruz;vera cruz
Não;RS;cacapava do sul;cacapava do sul
Não;RS;porto maua;porto maua
Não;RS;palmares do sul;palmares do sul
Não;RS;unistalda;unistalda
Não;RS;pareci novo;pareci novo
Sim;RN;marcelino vieira;marcelino vieira
Não;RJ;santa maria madalena;santa maria madalena
Não;RJ;nova iguacu;nova iguacu
Sim;RJ;santo antonio de padua;santo antonio de padua
Sim;PI;sebastiao leal;sebastiao leal
Sim;PR;paranavai;paranavai
Não;PB;santa luzia;santa luzia
Sim;PB;catingueira;catingueira
Sim;PA;santa maria do para;santa maria do para
Sim;PA;breu branco;breu branco
Sim;PA;terra alta;terra alta
Sim;MG;patrocinio do muriae;patrocinio do muriae
Não;MG;lagoa da prata;lagoa da prata
Sim;MG;chapada gaucha;chapada gaucha
Sim;MG;jaboticatubas;jaboticatubas
Sim;MG;santo antonio do rio abaixo;santo antonio do rio abaixo
Sim;MG;guarani;guarani
Sim;MG;brazopolis;brazopolis
Não;MG;rio acima;rio acima
Sim;MS;obadias de lana;obadias de lana
Não;MS;anaurilandia;anaurilandia
Sim;MS;fatima do sul;fatima do sul
Sim;MS;vicentina;vicentina
Sim;MS;sete quedas;sete quedas
Sim;MT;nova nazare;nova nazare
Sim;MT;nova marilandia;nova marilandia
Sim;MT;pontal do araguaia;pontal do araguaia
Sim;MT;novo sao joaquim;novo sao joaquim
Sim;MT;canarana;canarana
Sim;MT;gaucha do norte;gaucha do norte
Sim;MT;indiavai;indiavai
Não;MA;balsas;balsas
Sim;GO;novo gama;novo gama
Sim;GO;santa helena de goias;santa helena de goias
Sim;GO;cachoeira alta;cachoeira alta
Sim;GO;porangatu;porangatu
Sim;GO;piracanjuba;piracanjuba
Sim;GO;aloandia;aloandia
Não;GO;joviania;joviania
Não;ES;bom jesus do norte;bom jesus do norte
Não;DF;varjao;varjao
Sim;DF;itapoa;itapoa
Sim;CE;campos sales;campos sales
Não;CE;tejucuoca;tejucuoca
Sim;AM;branquinha;branquinha
Sim;AL;cha preta;cha preta
Não;AL;campo alegre;campo alegre
Sim;AL;maravilha;maravilha
Sim;AL;capela;capela
Sim;AL;taquarana;taquarana
Sim;AL;feliz deserto;feliz deserto
Sim;AL;junqueiro;junqueiro
Não;AL;agua branca;agua branca
Sim;AC;senador guiomard;senador guiomard
Sim;TO;augustinopolis;augustinopolis
Sim;TO;caseara;caseara
Sim;TO;santa rosa do tocantins;santa rosa do tocantins
Sim;TO;miracema do tocantins;miracema do tocantins
Sim;TO;bernardo sayao;bernardo sayao
Sim;SP;promissao;promissao
Sim;SP;nova odessa;nova odessa
Sim;SP;rubiacea;rubiacea
Não;SP;cerqueira cesar;cerqueira cesar
Sim;SP;pontes gestal;pontes gestal
Sim;SP;votuporanga;votuporanga
Sim;SP;salto de pirapora;salto de pirapora
Não;SP;itaoca;itaoca
Não;SP;itapeva;itapeva
Não;SP;registro;registro
Sim;SP;pedro de toledo;pedro de toledo
Sim;SP;jacupiranga;jacupiranga
Sim;SP;miracatu;miracatu
Sim;SP;quata;quata
Não;SP;serra azul;serra azul
Sim;SC;aguas frias;aguas frias
Não;SC;sao domingos;sao domingos
Sim;SC;aguas de chapeco;aguas de chapeco
Sim;SC;canoinhas;canoinhas
Sim;SC;pinhalzinho;pinhalzinho
Sim;RR;alto alegre;alto alegre
Sim;RR;bonfim;bonfim
Sim;RR;caracarai;caracarai
Sim;RO;ariquemes;ariquemes
Não;RS;tapejara;tapejara
Sim;RS;pinhal;pinhal
Sim;RS;sagrada familia;sagrada familia
Sim;RS;boa vista do incra;boa vista do incra
Sim;RS;guapore;guapore
Sim;RS;vista gaucha;vista gaucha
Sim;RN;assu;assu
Sim;RN;luis gomes;luis gomes
Sim;RN;serra negra do norte;serra negra do norte
Sim;RN;lagoa nova;lagoa nova
Sim;RN;ipueira;ipueira
Sim;RJ;cabo frio;cabo frio
Sim;RJ;araruama;araruama
Não;RJ;belford roxo;belford roxo
Sim;PI;inhuma;inhuma
Sim;PI;barras;barras
Sim;PI;sao jose do piaui;sao jose do piaui
Sim;PI;caxingo;caxingo
Sim;PI;piripiri;piripiri
Sim;PI;jose de freitas;jose de freitas
Sim;PI;arraial;arraial
Sim;PI;corrente;corrente
Sim;PI;padre marcos;padre marcos
Sim;PE;tuparetama;tuparetama
Sim;PE;sao joao;sao joao
Sim;PE;jatauba;jatauba
Sim;PE;camocim de sao felix;camocim de sao felix
Sim;PB;sobrado;sobrado
Sim;PB;campina grande;campina grande
Sim;PB;joao pessoa;joao pessoa
Sim;PB;mae d`agua;mae d`agua
Sim;PA;igarape-miri;igarape-miri
Sim;PA;mae do rio;mae do rio
Sim;PA;parauapebas;parauapebas
Sim;MG;carangola;carangola
Sim;MG;lavras;lavras
Sim;MG;uruana de minas;uruana de minas
Não;MG;uberlandia;uberlandia
Sim;MG;jaiba;jaiba
Sim;MG;ouro branco;ouro branco
Sim;MG;ibiraci;ibiraci
Sim;MG;grao mogol;grao mogol
Sim;MG;arceburgo;arceburgo
Sim;MG;barroso;barroso
Sim;MS;taquarussu;taquarussu
Sim;MS;angelica;angelica
Sim;MS;japora;japora
Sim;MS;juti;juti
Sim;MS;amambai;amambai
Sim;MS;coronel sapucaia;coronel sapucaia
Sim;MS;mundo novo;mundo novo
Sim;MT;reserva do cabacal;reserva do cabacal
Sim;MT;pontes e lacerda;pontes e lacerda
Sim;MT;nova canaa do norte;nova canaa do norte
Sim;MT;barra do bugres;barra do bugres
Não;MT;sorriso;sorriso
Sim;MA;brejo;brejo
Sim;MA;joao lisboa;joao lisboa
Sim;MA;sao francisco do maranhao;sao francisco do maranhao
Sim;MA;colinas;colinas
Sim;GO;inhumas;inhumas
Sim;GO;indiara;indiara
Sim;GO;arenopolis;arenopolis
Sim;GO;chapadao do ceu;chapadao do ceu
Sim;GO;turvelandia;turvelandia
Sim;GO;piranhas;piranhas
Sim;GO;uirapuru;uirapuru
Sim;ES;mimoso do sul;mimoso do sul
Sim;ES;ibiracu;ibiracu
Sim;ES;alto rio novo;alto rio novo
Não;DF;sobradinho;sobradinho
Sim;CE;camocim;camocim
Sim;CE;aracati;aracati
Não;CE;novo oriente;novo oriente
Sim;CE;pedra branca;pedra branca
Sim;CE;juazeiro do norte;juazeiro do norte
Sim;CE;beberibe;beberibe
Sim;CE;itaitinga;itaitinga
Sim;BA;itiuba;itiuba
Sim;BA;jequie;jequie
Sim;BA;igapora;igapora
Sim;BA;uaua;uaua
Sim;AL;maceio;maceio
Sim;AL;barra de sao miguel;barra de sao miguel
Sim;AL;sao jose da tapera;sao jose da tapera
Sim;AL;major izidoro;major izidoro
Sim;AL;girau do ponciano;girau do ponciano
Sim;AL;rio largo;rio largo
Sim;AC;bujari;bujari
Sim;TO;combinado;combinado
Sim;TO;palmas;palmas
Sim;TO;pedro afonso;pedro afonso
Sim;TO;sao valerio da natividade;sao valerio da natividade
Sim;TO;santa fe do araguaia;santa fe do araguaia
Sim;TO;porto nacional;porto nacional
Sim;SP;caconde;caconde
Sim;SP;campinas;campinas
Sim;SP;guaruja;guaruja
Sim;SP;americana;americana
Sim;SP;jabaquara;jabaquara
Sim;SP;eldorado;eldorado
Não;SP;presidente alves;presidente alves
Sim;SP;santo amaro;santo amaro
Sim;SP;pirassununga;pirassununga
Sim;SP;candido rodrigues;candido rodrigues
Sim;SP;santo antonio da alegria;santo antonio da alegria
Não;SP;franco da rocha;franco da rocha
Sim;SP;alvares machado;alvares machado
Sim;SP;sete barras;sete barras
Sim;SP;arandu;arandu
Sim;SP;amongagua;amongagua
Sim;SP;sumare;sumare
Não;SP;parapua;parapua
Sim;SP;cubatao;cubatao
Sim;SC;timbo;timbo
Sim;SC;seara;seara
Sim;SC;ipora do oeste;ipora do oeste
Sim;SC;sombrio;sombrio
Sim;SC;otacilio costa;otacilio costa
Sim;SC;curitibanos;curitibanos
Sim;SC;joacaba;joacaba
Sim;SC;ita;ita
Sim;SC;xaxim;xaxim
Sim;SC;itapoa;itapoa
Sim;SC;agua doce;agua doce
Sim;SC;barra do sul;barra do sul
Sim;SC;lindoia do sul;lindoia do sul
Sim;SC;araquari;araquari
Sim;RR;uiramuta;uiramuta
Sim;RR;canta;canta
Sim;RR;pacaraima;pacaraima
Sim;RO;vilhena;vilhena
Sim;RS;encantado;encantado
Não;RS;jacutinga;jacutinga
Sim;RS;capela de santana;capela de santana
Sim;RS;sao pedro do butia;sao pedro do butia
Sim;RS;alto feliz;alto feliz
Não;RS;miraguai;miraguai
Não;RS;victor graeff;victor graeff
Sim;RS;bage;bage
Sim;RS;butia;butia
Sim;RS;garibaldi;garibaldi
Não;RS;palmeira das missoes;palmeira das missoes
Sim;RS;aratiba;aratiba
Não;RS;vitoria das missoes;vitoria das missoes
Sim;RS;marau;marau
Sim;RS;santo antonio da patrulha;santo antonio da patrulha
Não;RS;julio de castilhos;julio de castilhos
Sim;RS;nova prata;nova prata
Sim;RS;tres coroas;tres coroas
Sim;RN;parelhas;parelhas
Sim;RN;tenente ananias;tenente ananias
Sim;RN;currais novos;currais novos
Sim;RJ;miracema;miracema
Sim;RJ;cachoeiras de macacu;cachoeiras de macacu
Sim;RJ;macuco;macuco
Não;RJ;duas barras;duas barras
Sim;RJ;natividade;natividade
Sim;RJ;rio das flores;rio das flores
Sim;PI;pio ix;pio ix
Sim;PI;nossa senhora de nazare;nossa senhora de nazare
Sim;PI;valenca do piaui;valenca do piaui
Sim;PI;floriano;floriano
Sim;PI;cajazeiras do piaui;cajazeiras do piaui
Sim;PI;sao joao do arraial;sao joao do arraial
Sim;PE;triunfo;triunfo
Sim;PE;cha de alegria;cha de alegria
Sim;PE;cortes;cortes
Sim;PE;gameleira;gameleira
Sim;PE;cedro;cedro
Sim;PE;joaquim nabuco;joaquim nabuco
Sim;PE;garanhuns;garanhuns
Sim;PE;paranatama;paranatama
Sim;PE;carnaiba;carnaiba
Sim;PE;angelim;angelim
Sim;PE;barreiros;barreiros
Sim;PE;abreu e lima;abreu e lima
Sim;PR;foz do iguacu;foz do iguacu
Sim;PR;apucarana;apucarana
Sim;PB;livramento;livramento
Sim;PB;sao jose do brejo do cruz;sao jose do brejo do cruz
Sim;PB;triunfo;triunfo
Sim;PA;ulianopolis;ulianopolis
Sim;PA;benevides;benevides
Sim;PA;xinguara;xinguara
Sim;PA;belem;belem
Sim;PA;castanhal;castanhal
Sim;PA;tome-acu;tome-acu
Sim;MG;salinas;salinas
Sim;MG;dom joaquim;dom joaquim
Sim;MG;senador firmino;senador firmino
Sim;MG;novorizonte;novorizonte
Sim;MG;pirangucu;pirangucu
Sim;MG;montes claros;montes claros
Sim;MG;itamonte;itamonte
Sim;MG;pirapora;pirapora
Sim;MS;brasilandia;brasilandia
Sim;MS;costa rica;costa rica
Sim;MS;itapora;itapora
Sim;MS;guia lopes da laguna;guia lopes da laguna
Sim;MS;nova andradina;nova andradina
Sim;MS;ponta pora;ponta pora
Não;MT;caceres;caceres
Sim;MT;barra do garcas;barra do garcas
Sim;MT;varzea grande;varzea grande
Sim;MT;paranatinga;paranatinga
Sim;MT;campo novo do parecis;campo novo do parecis
Sim;MA;itapecuru mirim;itapecuru mirim
Sim;MA;nova iorque;nova iorque
Sim;MA;anajatuba;anajatuba
Sim;MA;sao joao dos patos;sao joao dos patos
Não;GO;aparecida de goiania;aparecida de goiania
Sim;GO;crixas;crixas
Sim;GO;caiaponia;caiaponia
Sim;GO;jatai;jatai
Sim;GO;mairipotaba;mairipotaba
Sim;GO;sao simao;sao simao
Sim;GO;goiatuba;goiatuba
Não;ES;conceicao barra;conceicao barra
Sim;ES;linhares;linhares
Sim;ES;fundao;fundao
Sim;ES;venda nova do imigrante;venda nova do imigrante
Sim;DF;gama;gama
Sim;CE;baturite;baturite
Sim;CE;ocara;ocara
Sim;CE;redencao;redencao
Sim;CE;croata;croata
Sim;CE;tamboril;tamboril
Sim;CE;fortim;fortim
Sim;CE;hidrolandia;hidrolandia
Sim;CE;ibicuitinga;ibicuitinga
Sim;BA;ourolandia;ourolandia
Sim;BA;curaca;curaca
Sim;BA;lauro de freitas;lauro de freitas
Sim;AM;parintins;parintins
Sim;AP;porto grande;porto grande
Sim;AP;tartarugalzinho;tartarugalzinho
Sim;AL;penedo;penedo
Sim;AL;boca da mata;boca da mata
Sim;AL;mata grande;mata grande
Sim;AL;ibateguara;ibateguara
Sim;AL;poco das trincheiras;poco das trincheiras
Não;AC;acrelandia;acrelandia
Não;AC;rio branco;rio branco
Sim;TO;paraiso do tocantins;paraiso do tocantins
Sim;SP;dracena;dracena
Sim;SP;mombuca;mombuca
Sim;SP;vinhedo;vinhedo
Não;SP;santa isabel;santa isabel
Sim;SP;cajamar;cajamar
Sim;SP;itapira;itapira
Não;SP;palmares paulista;palmares paulista
Sim;SP;araraquara;araraquara
Sim;SP;santa lucia;santa lucia
Sim;SP;junqueiropolis;junqueiropolis
Sim;SP;botucatu;botucatu
Não;SP;americo de campos;americo de campos
Sim;SP;itariri;itariri
Sim;SP;cajobi;cajobi
Sim;SP;guarulhos;guarulhos
Sim;SP;ipaussu;ipaussu
Sim;SP;sao roque;sao roque
Sim;SP;sales;sales
Sim;SP;descalvado;descalvado
Sim;SP;taruma;taruma
Sim;SP;ribeirao pires;ribeirao pires
Sim;SP;sao miguel arcanjo;sao miguel arcanjo
Sim;SP;borborema;borborema
Sim;SP;diadema;diadema
Sim;SP;marilia;marilia
Sim;SP;lucelia;lucelia
Sim;SP;pirajui;pirajui
Sim;SP;morungaba;morungaba
Sim;SP;monte mor;monte mor
Sim;SP;rio das pedras;rio das pedras
Sim;SP;leme;leme
Sim;SP;paraguacu paulista;paraguacu paulista
Sim;SP;dobrada;dobrada
Sim;SP;morro agudo;morro agudo
Sim;SP;ferraz de vasconcelos;ferraz de vasconcelos
Sim;SP;rafard;rafard
Sim;SP;sao vicente;sao vicente
Sim;SP;ipigua;ipigua
Sim;SP;votuporanga;votuporanga
Sim;SC;ponte serrada;ponte serrada
Sim;SC;palhoca;palhoca
Sim;SC;cacador;cacador
Sim;SC;chapeco;chapeco
Sim;SC;schroeder;schroeder
Sim;RO;porto velho;porto velho
Sim;RO;cacoal;cacoal
Sim;RS;macambara;macambara
Sim;RS;sapiranga;sapiranga
Sim;RS;caxias do sul;caxias do sul
Sim;RS;charqueadas;charqueadas
Sim;RS;pedras altas;pedras altas
Sim;RS;ronda alta;ronda alta
Sim;RS;sao valerio do sul;sao valerio do sul
Sim;RS;caseiros;caseiros
Sim;RS;quinze de novembro;quinze de novembro
Sim;RS;sao gabriel;sao gabriel
Sim;RS;passo do sobrado;passo do sobrado
Sim;RS;nova petropolis;nova petropolis
Sim;RS;forquetinha;forquetinha
Sim;RS;arroio dos ratos;arroio dos ratos
Sim;RS;santana do livramento;santana do livramento
Sim;RS;panambi;panambi
Sim;RS;paverama;paverama
Sim;RS;santa maria;santa maria
Sim;RS;capivari do sul;capivari do sul
Sim;RS;arroio grande;arroio grande
Sim;RN;timbauba dos batistas;timbauba dos batistas
Sim;RN;major sales;major sales
Sim;RN;janduis;janduis
Sim;RN;tangara;tangara
Sim;RN;apodi;apodi
Sim;RN;mossoro;mossoro
Não;RJ;sao joao da barra;sao joao da barra
Sim;RJ;rio das ostras;rio das ostras
Sim;RJ;iguaba grande;iguaba grande
Sim;RJ;casimiro de abreu;casimiro de abreu
Sim;RJ;sao fidelis;sao fidelis
Sim;RJ;sao goncalo;sao goncalo
Sim;RJ;tres rios;tres rios
Sim;RJ;barra mansa;barra mansa
Sim;RJ;cantagalo;cantagalo
Sim;RJ;cordeiro;cordeiro
Sim;RJ;pinheiral;pinheiral
Sim;RJ;areal;areal
Sim;RJ;duque de caxias;duque de caxias
Sim;RJ;nova friburgo;nova friburgo
Sim;RJ;porciuncula;porciuncula
Sim;PI;bocaina;bocaina
Sim;PI;picos;picos
Sim;PE;bom jardim;bom jardim
Sim;PE;timbauba;timbauba
Sim;PE;caruaru;caruaru
Sim;PE;ferreiros;ferreiros
Sim;PE;aracoiaba;aracoiaba
Sim;PE;macaparana;macaparana
Sim;PE;machados;machados
Sim;PE;jaboatao dos guararapes;jaboatao dos guararapes
Sim;PE;sao caetano;sao caetano
Sim;PE;riacho das almas;riacho das almas
Sim;PE;quipapa;quipapa
Sim;PE;sertania;sertania
Sim;PE;lagoa de itaenga;lagoa de itaenga
Sim;PE;panelas;panelas
Sim;PE;casinhas;casinhas
Sim;PE;taquaritinga do norte;taquaritinga do norte
Sim;PE;lagoa do carro;lagoa do carro
Sim;PE;brejinho;brejinho
Sim;PR;maringa;maringa
Sim;PB;cabaceiras;cabaceiras
Sim;PB;picui;picui
Sim;PB;pedras de fogo;pedras de fogo
Sim;PB;boqueirao;boqueirao
Sim;PB;nova palmeira;nova palmeira
Sim;PB;gurjao;gurjao
Sim;PB;matinhas;matinhas
Sim;PA;braganca;braganca
Sim;PA;santarem;santarem
Sim;PA;barcarena;barcarena
Sim;PA;ananindeua;ananindeua
Sim;MG;santana do riacho;santana do riacho
Sim;MG;buritizeiro;buritizeiro
Sim;MG;monsenhor paulo;monsenhor paulo
Sim;MG;monte azul;monte azul
Sim;MG;itabira;itabira
Sim;MG;piedade dos gerais;piedade dos gerais
Sim;MG;cambui;cambui
Sim;MG;oliveira;oliveira
Sim;MG;campo belo;campo belo
Sim;MG;itanhandu;itanhandu
Sim;MG;itauna;itauna
Sim;MG;taiobeiras;taiobeiras
Sim;MG;eloi mendes;eloi mendes
Sim;MG;itabirinha;itabirinha
Sim;MG;ipatinga;ipatinga
Sim;MG;leme do prado;leme do prado
Sim;MG;miradouro;miradouro
Sim;MS;sao gabriel do oeste;sao gabriel do oeste
Sim;MS;bataypora;bataypora
Sim;MS;selviria;selviria
Sim;MS;ivinhema;ivinhema
Sim;MS;jardim;jardim
Sim;MT;curvelandia;curvelandia
Sim;MT;campos de julio;campos de julio
Sim;MT;nova xavantina;nova xavantina
Sim;MT;cuiaba;cuiaba
Sim;MT;conquista doeste;conquista doeste
Sim;MT;lucas do rio verde;lucas do rio verde
Sim;MT;agua boa;agua boa
Sim;MT;denise;denise
Não;MT;rosario oeste;rosario oeste
Sim;MT;alta floresta;alta floresta
Sim;MT;terra nova do norte;terra nova do norte
Sim;MT;tangara da serra;tangara da serra
Não;MT;sinop;sinop
Sim;MT;colider;colider
Sim;MA;sao joao do paraiso;sao joao do paraiso
Sim;MA;caxias;caxias
Sim;MA;sao luis;sao luis
Sim;GO;jesupolis;jesupolis
Sim;GO;jaragua;jaragua
Sim;ES;santa teresa;santa teresa
Sim;ES;anchieta;anchieta
Sim;ES;iuna;iuna
Sim;ES;cariacica;cariacica
Sim;ES;colatina;colatina
Sim;CE;jaguaribe;jaguaribe
Sim;CE;independencia;independencia
Sim;CE;itaicaba;itaicaba
Sim;CE;cruz;cruz
Sim;CE;guaramiranga;guaramiranga
Sim;CE;santa quiteria;santa quiteria
Sim;CE;boa viagem;boa viagem
Sim;CE;mombaca;mombaca
Sim;BA;campo formoso;campo formoso
Sim;BA;senhor do bonfim;senhor do bonfim
Sim;BA;cruz das almas;cruz das almas
Sim;AP;santana;santana
Sim;AL;delmiro gouveia;delmiro gouveia
Sim;AL;traipu;traipu
Sim;AL;coruripe;coruripe
Sim;AL;quebrangulo;quebrangulo
Sim;TO;colinas do tocantins;colinas do tocantins
Sim;SE;carmopolis;carmopolis
Sim;SP;carapicuiba;carapicuiba
Sim;SP;pracinha;pracinha
Sim;SP;apiai;apiai
Sim;SP;olimpia;olimpia
Sim;SP;iguape;iguape
Sim;SP;cachoeira paulista;cachoeira paulista
Sim;SP;queluz;queluz
Sim;SP;capao bonito;capao bonito
Sim;SP;tambau;tambau
Sim;SP;buri;buri
Sim;SP;ubatuba;ubatuba
Sim;SP;varzea paulista;varzea paulista
Sim;SP;guara;guara
Sim;SP;tabatinga;tabatinga
Sim;SP;penapolis;penapolis
Sim;SP;franca;franca
Sim;SP;sao jose do rio pardo;sao jose do rio pardo
Sim;SP;matao;matao
Sim;SP;viradouro;viradouro
Sim;SP;santo antonio de posse;santo antonio de posse
Sim;SP;limeira;limeira
Sim;SP;sao mateus;sao mateus
Sim;SP;salto;salto
Sim;SP;ourinhos;ourinhos
Sim;SP;barra do chapeu;barra do chapeu
Sim;SP;mira estrela;mira estrela
Sim;SP;sao caetano do sul;sao caetano do sul
Sim;SP;itabera;itabera
Sim;SP;nova campina;nova campina
Sim;SP;rancharia;rancharia
Sim;SP;ituverava;ituverava
Sim;SP;bebedouro;bebedouro
Sim;SP;cerquilho;cerquilho
Sim;SP;jaguariuna;jaguariuna
Sim;SP;palmital;palmital
Sim;SP;paranapua;paranapua
Sim;SP;itu;itu
