"Habilitado";"UF";"Prefeitura"
"686";"Não";"MT";"sinop"
"687";"Sim";"MT";"colider"
"688";"Sim";"MA";"sao joao do paraiso"
"689";"Sim";"MA";"caxias - ma"
"690";"Sim";"MA";"sao luis"
"691";"Sim";"GO";"jesupolis"
"692";"Sim";"GO";"jaragua"
"693";"Sim";"ES";"santa teresa"
"694";"Sim";"ES";"anchieta"
"695";"Sim";"ES";"iuna"
"696";"Sim";"ES";"cariacica"
"697";"Sim";"ES";"colatina"
"698";"Sim";"CE";"jaguaribe"
"699";"Sim";"CE";"independencia"
"700";"Sim";"CE";"itaicaba"
"701";"Sim";"CE";"cruz"
"702";"Sim";"CE";"guaramiranga/ce"
"703";"Sim";"CE";"santa quiteria - ceara"
"704";"Sim";"CE";"boa viagem"
"705";"Sim";"CE";"mombaca"
"706";"Sim";"BA";"campo formoso"
"707";"Sim";"BA";"senhor do bonfim"
"708";"Sim";"BA";"cruz das almas-ba"
"709";"Sim";"AP";"santana"
"710";"Sim";"AL";"delmiro gouveia"
"711";"Sim";"AL";"traipu"
"712";"Sim";"AL";"coruripe"
"713";"Sim";"AL";"quebrangulo"
"714";"Sim";"TO";"colinas do tocantins"
"715";"Sim";"SE";"carmopolis"
"716";"Sim";"SP";"carapicuiba"
"717";"Sim";"SP";"pracinha"
"718";"Sim";"SP";"apiai"
"719";"Sim";"SP";"olimpia"
"720";"Sim";"SP";"iguape / regional: registro"
"721";"Sim";"SP";"cachoeira paulista"
"722";"Sim";"SP";"queluz"
"723";"Sim";"SP";"capao bonito"
"724";"Sim";"SP";"tambau"
"725";"Sim";"SP";"buri"
"726";"Sim";"SP";"ubatuba"
"727";"Sim";"SP";"varzea paulista"
"728";"Sim";"SP";"guara"
"729";"Sim";"SP";"tabatinga"
"730";"Sim";"SP";"penapolis"
"731";"Sim";"SP";"franca"
"732";"Sim";"SP";"sao jose do rio pardo"
"733";"Sim";"SP";"matao"
"734";"Sim";"SP";"viradouro"
"735";"Sim";"SP";"santo antonio de posse"
"736";"Sim";"SP";"limeira"
"737";"Sim";"SP";"sao mateus"
"738";"Sim";"SP";"salto"
"739";"Sim";"SP";"ourinhos"
"740";"Sim";"SP";"barra do chapeu"
"741";"Sim";"SP";"mira estrela"
"742";"Sim";"SP";"sao caetano do sul"
"743";"Sim";"SP";"itabera - sao paulo"
"744";"Sim";"SP";"nova campina"
"745";"Sim";"SP";"rancharia"
"746";"Sim";"SP";"ituverava"
"747";"Sim";"SP";"bebedouro / regiao administrativa de barretos"
"748";"Sim";"SP";"cerquilho"
"749";"Sim";"SP";"jaguariuna"
"750";"Sim";"SP";"palmital"
"751";"Sim";"SP";"paranapua"
"752";"Sim";"SP";"itu"
"753";"Sim";"SP";"santa rosa de viterbo"
"754";"Sim";"SP";"capivari"
"755";"Sim";"SP";"angatuba"
"756";"Sim";"SP";"dois corregos"
"757";"Sim";"SP";"itupeva"
"758";"Sim";"SP";"itarare"
"759";"Sim";"SP";"serra negra - sp"
"760";"Sim";"SP";"jaborandi"
"761";"Sim";"SP";"fernandopolis"
"762";"Sim";"SP";"estancia balnearia de sao sebastiao"
"763";"Sim";"SP";"ipua"
"764";"Sim";"SP";"peruibe"
"765";"Sim";"SP";"cristais paulista"
"766";"Sim";"SP";"jales"
"767";"Sim";"SP";"santana de parnaiba"
"768";"Sim";"SC";"sao jose"
"769";"Sim";"SC";"rio dos cedros"
"770";"Sim";"SC";"itajai"
"771";"Sim";"SC";"rio do sul"
"772";"Sim";"RR";"boa vista"
"773";"Sim";"RS";"salvador do sul"
"774";"Sim";"RS";"rosario do sul"
"775";"Sim";"RS";"tres passos"
"776";"Sim";"RS";"passo fundo"
"777";"Sim";"RS";"alegrete"
"778";"Sim";"RS";"torres"
"779";"Não";"RS";"roca sales"
"780";"Sim";"RS";"gravatai"
"781";"Sim";"RS";"cruzaltense"
"782";"Sim";"RS";"esteio"
"783";"Sim";"RS";"gramado"
"784";"Sim";"RS";"dois irmaos"
"785";"Sim";"RS";"erechim"
"786";"Sim";"RS";"pelotas"
"787";"Sim";"RS";"crissiumal"
"788";"Sim";"RS";"cangucu"
"789";"Sim";"RS";"turucu"
"790";"Sim";"RS";"santo angelo"
"791";"Sim";"RS";"dom pedrito"
"792";"Sim";"RS";"girua"
"793";"Sim";"RS";"sao francisco de assis"
"794";"Sim";"RS";"novo tiradentes"
"795";"Sim";"RS";"sao leopoldo"
"796";"Sim";"RS";"fazenda vilanova"
"797";"Sim";"RJ";"bom jardim"
"798";"Sim";"RJ";"pirai"
"799";"Não";"RJ";"porto real"
"800";"Sim";"RJ";"mesquita"
"801";"Sim";"RJ";"sao jose do vale do rio preto"
"802";"Sim";"RJ";"tangua - rj"
"803";"Sim";"RJ";"niteroi"
"804";"Sim";"RJ";"barra do pirai - rj"
"805";"Sim";"RJ";"rio claro"
"806";"Sim";"RJ";"rio bonito"
"807";"Sim";"RJ";"petropolis"
"808";"Sim";"RJ";"quissama"
"809";"Sim";"RJ";"volta redonda"
"810";"Sim";"RJ";"teresopolis"
"811";"Sim";"RJ";"paracambi"
"812";"Sim";"PI";"luzilandia"
"813";"Sim";"PI";"batalha"
"814";"Sim";"PE";"santa maria da boa vista"
"815";"Sim";"PE";"trindade"
"816";"Sim";"PE";"belem do sao francisco - pe"
"817";"Sim";"PE";"agrestina/pe."
"818";"Sim";"PE";"cupira"
"819";"Sim";"PE";"vicencia"
"820";"Sim";"PE";"santa filomena"
"821";"Sim";"PE";"afogados da ingazeira"
"822";"Sim";"PE";"cabo de santo agostinho"
"823";"Sim";"PE";"serra talhada"
"824";"Sim";"PE";"sao bento do una"
"825";"Sim";"PE";"cha grande"
"826";"Sim";"PE";"olinda"
"827";"Sim";"PE";"bezerros"
"828";"Sim";"PE";"nazare da mata"
"829";"Sim";"PE";"limoeiro"
"830";"Sim";"PE";"iguaracy"
"831";"Sim";"PE";"jatoba"
"832";"Sim";"PE";"joao alfredo"
"833";"Sim";"PE";"venturosa"
"834";"Sim";"PE";"sao vicente ferrer"
"835";"Sim";"PE";"pedra"
"836";"Sim";"PE";"pesqueira"
"837";"Sim";"PE";"petrolina"
"838";"Sim";"PR";"curitiba"
"839";"Sim";"PB";"bananeiras"
"840";"Sim";"PA";"paragominas"
"841";"Sim";"PA";"pau d'arco"
"842";"Sim";"PA";"tailandia"
"843";"Sim";"MG";"santos dumont"
"844";"Sim";"MG";"janauba - municipal"
"845";"Sim";"MG";"santo antonio do monte/regional divinopolis mg"
"846";"Sim";"MG";"barbacena"
"847";"Sim";"MG";"muriae"
"848";"Sim";"MG";"contagem/regiao metropolitana de belo horizonte"
"849";"Sim";"MG";"perdigao"
"850";"Sim";"MG";"governador valadares"
"851";"Sim";"MG";"franciscopolis"
"852";"Sim";"MG";"tres marias"
"853";"Sim";"MG";"congonhas"
"854";"Sim";"MS";"chapadao do sul"
"855";"Sim";"MS";"campo grande/ms"
"856";"Sim";"MS";"rio brilhante"
"857";"Sim";"MS";"corumba"
"858";"Sim";"MS";"maracaju"
"859";"Sim";"MS";"itaquirai"
"860";"Sim";"MT";"araputanga"
"861";"Sim";"MT";"nova olimpia - mato grosso"
"862";"Sim";"MA";"alcantara"
"863";"Sim";"MA";"central do maranhao"
"864";"Sim";"MA";"barra do corda"
"865";"Sim";"MA";"imperatriz"
"866";"Sim";"MA";"porto franco"
"867";"Sim";"MA";"pedreiras"
"868";"Sim";"GO";"quirinopolis"
"869";"Sim";"GO";"mineiros"
"870";"Sim";"GO";"anapolis"
"871";"Sim";"GO";"rio verde, goias"
"872";"Sim";"GO";"goianesia"
"873";"Sim";"GO";"parauna"
"874";"Sim";"ES";" jaguare"
"875";"Sim";"ES";"aracruz"
"876";"Sim";"ES";"cachoeiro de itapemirim"
"877";"Sim";"ES";"vitoria"
"878";"Sim";"ES";"boa esperanca"
"879";"Sim";"ES";"muqui"
"880";"Sim";"ES";"nova venecia"
"881";"Sim";"ES";"mucurici"
"882";"Sim";"CE";"capistrano"
"883";"Sim";"CE";"santana do acarau"
"884";"Sim";"CE";"vicosa do ceara - ce"
"885";"Sim";"CE";"sobral"
"886";"Não";"CE";"granjeiro"
"887";"Sim";"CE";"fortaleza"
"888";"Sim";"CE";"maracanau"
"889";"Sim";"CE";"itapaje/ce"
"890";"Sim";"CE";"oros"
"891";"Sim";"CE";"taua"
"892";"Sim";"CE";"jaguaretama"
"893";"Sim";"BA";"camacari"
"894";"Sim";"BA";"santo antonio de jesus"
"895";"Sim";"AL";"maragogi"
"896";"Sim";"AL";"santana do ipanema"
"897";"Sim";"SE";"frei paulo"
"898";"Sim";"SE";"porto da folha"
"899";"Sim";"SE";"brejo grande"
"900";"Sim";"SE";"laranjeiras"
"901";"Sim";"SP";"santo andre"
"902";"Sim";"SP";"presidente epitacio"
"903";"Sim";"SP";"cotia"
"904";"Sim";"SP";"martinopolis"
"905";"Sim";"SP";"sao jose dos campos"
"906";"Sim";"SP";"bocaina"
"907";"Sim";"SP";"suzano"
"908";"Sim";"SP";"sao carlos"
"909";"Sim";"SP";"prefeitura municipal da estancia balnearia de praia grande"
"910";"Sim";"SP";"jandira"
"911";"Sim";"SP";"presidente prudente"
"912";"Sim";"SP";"ibitinga"
"913";"Sim";"SP";"ribeirao do sul"
"914";"Sim";"SP";"pirapora do bom jesus"
"915";"Sim";"SP";"cravinhos"
"916";"Sim";"SP";"itaquaquecetuba"
"917";"Sim";"SP";"santa barbara do oeste"
"918";"Sim";"SP";"lencois paulista"
"919";"Sim";"SP";"jacarei"
"920";"Sim";"SP";"caraguatatuba - sp"
"921";"Sim";"SP";"paraibuna"
"922";"Sim";"SP";"sud mennucci"
"923";"Sim";"SP";"santos"
"924";"Sim";"SP";"salesopolis"
"925";"Sim";"SP";"aracatuba"
"926";"Sim";"SP";"osvaldo cruz"
"927";"Sim";"SP";"sorocaba"
"928";"Sim";"SP";"guarani d´oeste"
"929";"Sim";"SP";"valinhos"
"930";"Sim";"SP";"jardinopolis"
"931";"Sim";"SP";"colina"
"932";"Sim";"SP";"aracariguama"
"933";"Sim";"SP";"igaracu do tiete"
"934";"Sim";"SP";"barretos"
"935";"Sim";"SP";"sao joao da boa vista"
"936";"Sim";"SP";"campo limpo paulista"
"937";"Sim";"SP";"pinheiros"
"938";"Sim";"SP";"santa fe do sul"
"939";"Sim";"SP";"pilar do sul"
"940";"Sim";"SP";"jacana / tremembe"
"941";"Sim";"SP";"indaiatuba"
"942";"Sim";"SP";"rio grande da serra"
"943";"Sim";"SP";"votorantim"
"944";"Sim";"SP";"garca"
"945";"Sim";"SP";"jaboticabal"
"946";"Sim";"SP";"santa cruz do rio pardo"
"947";"Sim";"SP";"taquaritinga"
"948";"Sim";"SP";"bariri"
"949";"Sim";"SP";"itapecerica da serra"
"950";"Sim";"SP";"itapetininga"
"951";"Sim";"SP";"ilha solteira"
"952";"Sim";"SP";"miguelopolis / franca"
"953";"Sim";"SP";"itai"
"954";"Sim";"SP";"ribeirao preto"
"955";"Sim";"SP";"sao jose do rio preto"
"956";"Sim";"SP";"macatuba"
"957";"Sim";"SP";"cruzeiro"
"958";"Sim";"SP";"tatui"
"959";"Sim";"SP";"piraju"
"960";"Sim";"SP";"guaira"
"961";"Sim";"SP";"mogi das cruzes"
"962";"Sim";"SP";"amparo"
"963";"Sim";"SP";"lins"
"964";"Sim";"SP";"piracicaba"
"965";"Sim";"SP";"boituva"
"966";"Sim";"SP";"porto ferreira"
"967";"Sim";"SP";"sao bernardo do campo"
"968";"Sim";"SP";"sao sebastiao da grama"
"969";"Sim";"SP";"jundiai"
"970";"Sim";"SP";"itanhaem"
"971";"Sim";"SP";"fartura"
"972";"Sim";"SP";"sertaozinho"
"973";"Sim";"SP";"novo horizonte"
"974";"Sim";"SP";"hortolandia"
"975";"Sim";"SP";"porto feliz"
"976";"Sim";"SP";"cajuru"
"977";"Sim";"SP";"batatais"
"978";"Sim";"SP";"taboao da serra"
"979";"Sim";"SP";"itaim paulista (cidade de sao paulo)"
"980";"Sim";"SP";"itatiba"
"981";"Sim";"SP";"ilhabela"
"982";"Sim";"SP";"maua"
"983";"Sim";"SP";"embu"
"984";"Sim";"SC";"blumenau"
"985";"Sim";"RS";"balneario pinhal"
"986";"Sim";"RS";"osorio"
"987";"Sim";"RS";"sao borja / fronteia oeste"
"988";"Sim";"RS";"rio grande"
"989";"Sim";"RS";"tupandi/rs vale do cai"
"990";"Sim";"RS";"condor"
"991";"Sim";"RS";"farroupilha"
"992";"Sim";"RS";"porto alegre"
"993";"Sim";"RS";"cruz alta"
"994";"Sim";"RS";"santa cruz do sul"
"995";"Sim";"PE";"moreno"
"996";"Sim";"PE";"lajedo"
"997";"Sim";"PE";"lagoa grande, capital da uva e do vinho"
"998";"Sim";"PE";"ipojuca"
"999";"Sim";"PE";"santa cruz do capibaribe"
"1000";"Sim";"PE";"petrolandia"
"1001";"Sim";"PE";"buique"
"1002";"Sim";"MG";"joao monlevade"
"1003";"Sim";"MG";"cachoeira de minas"
"1004";"Sim";"MG";"itabirito"
"1005";"Sim";"MG";"santa luzia / municipal"
"1006";"Sim";"MG";"itajuba"
"1007";"Sim";"MG";"uberaba"
"1008";"Sim";"MT";"campo verde/mt"
"1009";"Sim";"SE";"nossa senhora aparecida"
"1010";"Sim";"SE";"caninde de sao francisco"
"1011";"Sim";"SE";"neopolis"
"1012";"Sim";"SE";"itaporanga d'ajuda"
"1013";"Sim";"SP";"osasco"
"1014";"Sim";"SE";"estancia"
