"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2012","partido_pt_2012","inova7","pop_2012.1","bur_consel_2012","cand_reelec_2012","cand_sex_2012","cand_esc_2012","cand_age_2012","bur_escol_2011","bur_terc_2011","bur_espel_2012","bur_polit_2012","alinhamento_estadual_2012","alinhamento_federal_2012","alinhamento_ambos_2012","n_alinhado_2012","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2012","log_orcamento_2012","iqb_pcr_2012","iqb_factor_2012"
"24","ALcampo alegre",270140,"2701407",0.57,"AL","campo alegre","Alagoas",7.25917946177058,4.23018578513351,0,52327,0,0,52327,0,"Não","Feminino",0,"37",0.30406852248394,0.0219690805532954,0.881297446514838,0.0477682067345341,0,0,0,1,"AL","Campo Alegre","campo alegre","63410584.55",17.9651413542112,0.133247122557032,0.692997495210997
"25","ALcampo grande",270150,"2701506",0.524,"AL","campo grande","Alagoas",7.22210605904229,4.78982235812033,0,9273,0,0,9273,0,"Não","Masculino",0,"25",0.373737373737374,0,0.933453237410072,0.0712909441233141,0,0,0,1,"AL","Campo Grande","campo grande","21587643.75",16.887631660361,0.117796792431642,0.731593484789715
"26","ALcanapi",270160,"2701605",0.506,"AL","canapi","Alagoas",7.20228882638302,5.36466674708957,0,17238,0,0,17238,0,"Não","Masculino",0,"59",0.126436781609195,0.130929791271347,0.538539553752535,0.101694915254237,0,0,0,1,"AL","Canapi","canapi","33396370.7",17.3239577903662,0.194678038700544,0.563240423098982
"27","ALcapela",270170,"2701704",0.573,"AL","capela","Alagoas",7.29168345675965,3.84929617551984,0,16728,0,0,16728,0,"Não","Masculino",1,"39",0.116731517509728,0.028673835125448,0.965675057208238,0.0355450236966825,0,0,0,1,"AL","Capela","capela","32297877.65",17.2905120786037,0.182379194312056,0.576616940334809
"28","ALcoqueiro seco",270220,"2702207",0.586,"AL","coqueiro seco","Alagoas",7.30074286557919,2.089391872533,0,5586,0,0,5586,0,"Sim","Masculino",1,"46",0.269565217391304,0,0.521035598705502,0.46583850931677,0,0,0,1,"AL","Coqueiro Seco","coqueiro seco","13674324.48",16.4310305068803,0.217052273415301,0.56003210716662
"29","ALcoruripe",270230,"2702306",0.626,"AL","coruripe","Alagoas",7.25827129560529,4.25362491986936,0,53224,0,1,53224,1,"Não","Masculino",1,"55",0.17216740387887,0.239327296248383,0.542557044549076,0.309078771695594,0,0,0,1,"AL","Coruripe","coruripe","130309934.47",18.6854262822432,0.222683393792727,0.535104705157841
"30","ALdelmiro gouveia",270240,"2702405",0.612,"AL","delmiro gouveia","Alagoas",7.16303295432489,5.52102082103384,0,48876,0,1,48876,1,"Não","Masculino",0,"50",0.128344179320318,0.116153846153846,0.46999276934201,0.0723076923076923,0,0,0,1,"AL","Delmiro Gouveia","delmiro gouveia","87726587.14",18.2897355714899,0.188438106772271,0.572567039145915
"31","ALdois riachos",270250,"2702504",0.532,"AL","dois riachos","Alagoas",7.22435274284761,5.0293916225787,0,10838,0,0,10838,0,"Sim","Feminino",0,"43",0.157216494845361,0,0.679586563307494,0.300380228136882,1,0,0,0,"AL","Dois Riachos","dois riachos","20452835.18",16.8336320704523,0.218010591745279,0.532438228448607
"32","ALestrela de alagoas",270255,"2702553",0.534,"AL","estrela de alagoas","Alagoas",7.24736544429428,4.75806293209123,0,17410,0,1,17410,0,"Não","Masculino",1,"37",0.335115864527629,0,0.970639032815199,0.0213523131672598,0,0,0,1,"AL","Estrela de Alagoas","estrela de alagoas","25215172.6",17.0429564586014,0.119372062725065,0.720258878459946
"33","ALfeira grande",270260,"2702603",0.533,"AL","feira grande","Alagoas",7.23231397319658,4.66870820679208,0,21342,0,1,21342,1,"Não","Masculino",1,"28",0.207589285714286,0.054380664652568,0.671968190854871,0.103550295857988,0,0,0,1,"AL","Feira Grande","feira grande","34488020.04",17.3561225764806,0.170564151106169,0.615972934858978
"34","ALfeliz deserto",270270,"2702702",0.565,"AL","feliz deserto","Alagoas",7.24329136326374,4.53870981928782,0,4482,0,1,4482,1,"Sim","Masculino",0,"35",0.145454545454545,0.021978021978022,0.609571788413098,0.599173553719008,0,0,0,1,"AL","Feliz Deserto","feliz deserto","11978628.8",16.2986346866718,0.275518286830769,0.444919127224755
"35","ALgirau do ponciano",270290,"2702900",0.536,"AL","girau do ponciano","Alagoas",7.22250032323361,4.80655880549927,0,37858,0,1,37858,1,"Não","Masculino",1,"31",0.121885157096425,0.0362976406533575,0.574501573976915,0.0602739726027397,0,0,0,1,"AL","Girau do Ponciano","girau do ponciano","59315535",17.8983818026776,0.185641013667888,0.573171861977991
"36","ALibateguara",270300,"2703007",0.518,"AL","ibateguara","Alagoas",7.31686042078867,4.38502214365368,0,15180,0,1,15180,1,"Não","Masculino",0,"46",0.00606060606060606,0.785714285714286,0.723631508678238,0.105166051660517,0,0,0,1,"AL","Ibateguara","ibateguara","27957090.22",17.1461814005295,0.247827514235507,0.473063867074672
"37","ALigaci",270310,"2703106",0.564,"AL","igaci","Alagoas",7.24977637786709,4.60116216459055,0,25129,0,0,25129,0,"Não","Masculino",1,"41",0.227048371174729,0,0.933062880324544,0.0717391304347826,0,0,0,1,"AL","Igaci","igaci","36021775.31",17.3996341832827,0.157909115438291,0.637895761662877
"38","ALigreja nova",270320,"2703205",0.568,"AL","igreja nova","Alagoas",7.22465143407231,4.73312355029855,0,23570,0,0,23570,0,"Não","Masculino",0,"45",0.354368932038835,0.0419161676646707,0.790909090909091,0.137931034482759,0,0,0,1,"AL","Igreja Nova","igreja nova","36708670.44",17.4185235368929,0.136304810647806,0.700687355633144
"39","ALjaramataia",270370,"2703700",0.552,"AL","jaramataia","Alagoas",7.21978112269842,4.93368225292813,0,5524,0,0,5524,0,"Não","Masculino",1,"33",0.324858757062147,0.0580645161290323,0.865921787709497,0.0451612903225806,1,0,0,0,"AL","Jaramataia","jaramataia","14990252.61",16.5229107218381,0.128190045277745,0.706267990906599
"40","ALjoaquim gomes",270380,"2703809",0.531,"AL","joaquim gomes","Alagoas",7.32273497945889,4.08227198098783,0,22853,0,0,22853,1,"Sim","Masculino",0,"63",0.260526315789474,0,0.354223433242507,0.0346153846153846,0,0,0,1,"AL","Joaquim Gomes","joaquim gomes","32716607.04",17.3033933675004,0.142108673160352,0.669142216189188
"41","ALjunqueiro",270400,"2704005",0.575,"AL","junqueiro","Alagoas",7.24522701593643,4.45608996297394,0,24173,0,1,24173,0,"Sim","Masculino",0,"31",0.181463414634146,0.0710900473933649,0.562425683709869,0.0486257928118393,0,0,0,1,"AL","Junqueiro","junqueiro","46726793.98",17.6598283050044,0.168336386519386,0.613620024808576
"42","ALlimoeiro de anadia",270420,"2704203",0.58,"AL","limoeiro de anadia","Alagoas",7.25050065539644,4.43781605631592,0,27069,0,1,27069,1,"Sim","Masculino",1,"46",0.118838028169014,0,0.843555555555556,0.172813487881981,0,0,0,1,"AL","Limoeiro de Anadia","limoeiro de anadia","43621356.44",17.5910574149989,0.205584246600903,0.541938529357056
"43","ALmajor isidoro",270440,"2704401",0.566,"AL","major isidoro","Alagoas",7.2262817347289,4.92623867745751,0,19087,0,0,19087,0,"Não","Feminino",0,"46",0.183930300096805,0,0.907906976744186,0.0450819672131148,0,0,0,1,"AL","Major Isidoro","major isidoro","35202948.7",17.3766404069462,0.164890847114733,0.617490529621369
"44","ALmaravilha",270460,"2704609",0.569,"AL","maravilha","Alagoas",7.21447498031106,5.21210566972897,0,9981,0,0,9981,0,"Não","Masculino",0,"54",0.103053435114504,0.0069284064665127,0.973621103117506,0.0270935960591133,0,0,0,1,"AL","Maravilha","maravilha","22083026.76",16.9103198515001,0.183941419955672,0.570556397197772
"45","ALmarechal deodoro",270470,"2704708",0.642,"AL","marechal deodoro","Alagoas",7.29213974347906,2.90197089373952,0,47504,0,1,47504,1,"Sim","Masculino",1,"39",0.160649819494585,0,0.891998250983822,0.121078431372549,0,0,0,1,"AL","Marechal Deodoro","marechal deodoro","105903229.08",18.4780363018915,0.184886546085491,0.582393855169997
"46","ALmaribondo",270480,"2704807",0.597,"AL","maribondo","Alagoas",7.27010409601667,4.14741128315879,0,13389,0,1,13389,0,"Não","Masculino",0,"51",0.224842767295597,0,0.955177743431221,0.0210355987055016,0,0,0,1,"AL","Maribondo","maribondo","21369056.46",16.8774544737703,0.14940906628398,0.649995972095094
"48","ALmessias",270520,"2705200",0.568,"AL","messias","Alagoas",7.30753089927259,3.51393065164939,0,16292,0,0,16292,0,"Não","Masculino",1,"48",0.292056074766355,0,0.907865168539326,0.0185643564356436,1,0,0,0,"AL","Messias","messias","29678761.14",17.2059422348263,0.130622732457725,0.693532151672659
"49","ALmurici",270550,"2705507",0.527,"AL","murici","Alagoas",7.30391051776452,3.82820651933504,0,27030,0,1,27030,0,"Sim","Masculino",1,"51",0.0924908424908425,0.0259067357512953,0.591405680990532,0.0258620689655172,0,0,0,1,"AL","Murici","murici","46491163.47",17.6547728195958,0.187173179186429,0.563785078333521
"50","ALnovo lino",270560,"2705606",0.521,"AL","novo lino","Alagoas",7.33710617021626,4.43153082957697,0,12303,0,1,12303,1,"Não","Masculino",0,"38",0.162878787878788,0.0416666666666667,0.823446327683616,0.109777015437393,0,0,0,1,"AL","Novo Lino","novo lino","21983949.66",16.9058231841544,0.183501521968858,0.586033607796149
"51","ALouro branco",270610,"2706109",0.547,"AL","ouro branco","Alagoas",7.21712056226506,5.22778760035751,0,10953,0,1,10953,0,"Sim","Masculino",0,"42",0.0759753593429158,0.129577464788732,0.761388286334056,0.0313390313390313,0,0,0,1,"AL","Ouro Branco","ouro branco","21334736.18",16.8758471089313,0.195778650022404,0.549817517819705
"52","ALpariconha",270642,"2706422",0.548,"AL","pariconha","Alagoas",7.16878788795913,5.53445611335706,0,10282,0,1,10282,0,"Não","Masculino",1,"40",0.212765957446809,0.0445026178010471,0.753479125248509,0.129287598944591,0,0,0,1,"AL","Pariconha","pariconha","21072771.04",16.8634922930323,0.173474792301806,0.612606958421133
"53","ALpaulo jacinto",270660,"2706604",0.589,"AL","paulo jacinto","Alagoas",7.27406367188911,4.34652898232072,0,7412,0,1,7412,0,"Não","Masculino",0,"58",0.197969543147208,0,0.915816326530612,0.0919220055710306,0,0,0,1,"AL","Paulo Jacinto","paulo jacinto","15206643.42",16.5372429574358,0.169467911786263,0.613968655651731
"54","ALpenedo",270670,"2706703",0.63,"AL","penedo","Alagoas",7.22371863897181,4.75522678219477,0,60890,0,1,60890,1,"Não","Masculino",1,"43",0.184865900383142,0.0386416861826698,0.759598603839442,0.124641010913268,1,0,0,0,"AL","Penedo","penedo","91248097.42",18.3290927000177,0.180078563704884,0.596157841249341
"55","ALpiranhas",270710,"2707107",0.589,"AL","piranhas","Alagoas",7.16857219307411,5.40137022160412,0,23504,0,1,23504,1,"Não","Masculino",1,"39",0.180340557275542,0.0343035343035343,0.875,0.142857142857143,0,0,0,1,"AL","Piranhas","piranhas","67495889.76",18.0275772615443,0.184453228470827,0.588500790730827
"57","ALporto de pedras",270740,"2707404",0.541,"AL","porto de pedras","Alagoas",7.34990583789815,4.30811095172371,0,8156,0,0,8156,0,"Não","Masculino",1,"30",0.19661733615222,0.00707547169811321,0.892631578947368,0.108490566037736,0,0,0,1,"AL","Porto de Pedras","porto de pedras","20595336.63",16.8405752309482,0.173023820138408,0.608557590982722
"59","ALrio largo",270770,"2707701",0.643,"AL","rio largo","Alagoas",7.30333165433993,3.20193310413789,0,68952,0,1,68952,0,"Não","Feminino",1,"61",0.337190742218675,0.0182445759368836,0.817375886524823,0.135032537960954,0,0,0,1,"AL","Rio Largo","rio largo","83469900.26",18.2399966489059,0.13976117334752,0.690951334709076
"60","ALroteiro",270780,"2707800",0.505,"AL","roteiro","Alagoas",7.28221120021596,3.48031658611475,0,6607,0,1,6607,0,"Não","Masculino",1,"44",0.275626423690205,0,0.439024390243902,0.388888888888889,1,0,0,0,"AL","Roteiro","roteiro","25833837.12",17.0671957068847,0.201584661550417,0.584397888669388
"61","ALsanta luzia do norte",270790,"2707909",0.597,"AL","santa luzia do norte","Alagoas",7.30077661686596,2.4706386779903,0,6967,1,0,6967,1,"Não","Masculino",0,"63",0.180293501048218,0.0619718309859155,0.699612403100775,0.163434903047091,0,0,0,1,"AL","Santa Luzia do Norte","santa luzia do norte","15465241.8",16.5541055992846,0.18899144754531,0.582462445891861
"63","ALsatuba",270890,"2708907",0.66,"AL","satuba","Alagoas",7.30209877054979,2.71137799119488,0,15020,0,1,15020,0,"Não","Masculino",0,"50",0.183035714285714,0.0807248764415156,0.614016736401674,0.0562180579216354,0,0,0,1,"AL","Satuba","satuba","20114664.29",16.8169596736916,0.169559727708273,0.612417164786768
"64","ALsenador rui palmeira",270895,"2708956",0.518,"AL","senador rui palmeira","Alagoas",7.19844532294822,5.28523212699938,0,13209,0,0,13209,0,"Não","Masculino",0,"49",0.294985250737463,0,0.949756888168558,0.0290102389078498,0,0,0,1,"AL","Senador Rui Palmeira","senador rui palmeira","23169280.33",16.9583378355032,0.131698527798205,0.692618033938307
"65","ALtaquarana",270910,"2709103",0.541,"AL","taquarana","Alagoas",7.25466570480345,4.42556493668836,0,18907,0,1,18907,0,"Não","Masculino",0,"44",0.316989737742303,0.0185873605947955,0.803157894736842,0.0773263433813893,0,0,0,1,"AL","Taquarana","taquarana","35800478.36",17.3934718132928,0.134925350981952,0.693430577726747
"66","AManori",130010,"1300102",0.561,"AM","anori","Amazonas",7.60482973767997,5.27079199548328,0,17072,0,1,17072,0,"Sim","Feminino",0,"35",0.280357142857143,0,0.601739130434783,0.254335260115607,0,0,0,1,"AM","Anori","anori","28632570.93",17.1700554715058,0.176139450306236,0.623260413118042
"67","AMautazes",130030,"1300300",0.577,"AM","autazes","Amazonas",7.51094492871831,4.72366408003588,0,33312,0,1,33312,0,"Sim","Masculino",1,"51",0.177337826453243,0.00354609929078014,0.387603305785124,0.0980810234541578,0,0,0,1,"AM","Autazes","autazes","53251467.67",17.7905359240519,0.176310550659328,0.599098704700916
"69","AMberuri",130063,"1300631",0.506,"AM","beruri","Amazonas",7.58901204794873,5.15807781013345,0,16158,0,0,16158,1,"Não","Masculino",1,"44",0.275275275275275,0.0404040404040404,0.849112426035503,0.0313588850174216,0,0,0,1,"AM","Beruri","beruri","33252903.31",17.3196526388482,0.138713136454484,0.678649820759801
"70","AMborba",130080,"1300805",0.56,"AM","borba","Amazonas",7.49386275706108,5.01582182078356,0,35919,0,0,35919,0,"Não","Masculino",1,"56",0.0618556701030928,0.286259541984733,0.311348781937017,0.0362595419847328,0,0,0,1,"AM","Borba","borba","57045267.55",17.8593556781585,0.205223326493193,0.536517842269247
"71","AMcaapiranga",130083,"1300839",0.569,"AM","caapiranga","Amazonas",7.60438140100151,4.89657033780828,0,11303,0,0,11303,0,"Não","Masculino",0,"46",0.201081081081081,0.0232558139534884,0.73138548539114,0.0193298969072165,0,0,0,1,"AM","Caapiranga","caapiranga","22545997.85",16.931068129226,0.15628630922747,0.634849389496907
"72","AMcanutama",130090,"1300904",0.53,"AM","canutama","Amazonas",7.63356808110403,6.42228871234968,0,13986,0,1,13986,0,"Sim","Masculino",0,"44",0.0854472630173565,0.0283464566929134,0.650793650793651,0.105691056910569,0,0,0,1,"AM","Canutama","canutama","27336651.52",17.1237389062656,0.203499078916875,0.537979127318661
"76","AMenvira",130150,"1301506",0.509,"AM","envira","Amazonas",7.85413671045031,7.09588493605907,0,16923,0,0,16923,1,"Não","Masculino",1,"43",0.275482093663912,0.17434869739479,0.89873417721519,0.112676056338028,0,0,0,1,"AM","Envira","envira","26841572.63",17.1054624611232,0.157279065879974,0.654570400383849
"77","AMfonte boa",130160,"1301605",0.53,"AM","fonte boa","Amazonas",7.8144602135527,6.51762695878419,0,23198,0,0,23198,1,"Não","Masculino",0,"55",0.00868983957219251,0.0662420382165605,0.600337268128162,0.00749063670411985,0,0,0,1,"AM","Fonte Boa","fonte boa","37494853.34",17.4397142372551,0.207956823051394,0.514451899273108
