"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_pcr_2008","iqb_factor_2008"
"18","ALbatalha",270070,"2700706",0.594,"AL","batalha","Alagoas",7.21048604963544,5.02631177348126,0,16735,1,16735,0,"Sim","Masculino",1,"30",0.103494623655914,0.00431034482758621,0.935483870967742,0.0632183908045977,0,0,0,1,"AL","Batalha","batalha","17754312.62",16.6921390088816,0.0704359170428978,0.685194365029279
"19","ALbelo monte",270090,"2700904",0.517,"AL","belo monte","Alagoas",7.19323492787872,5.13738541243255,0,7452,0,7452,0,"Não","Masculino",0,"47",0.110091743119266,0.0720338983050847,0.7217125382263,0.203389830508475,0,0,0,1,"AL","Belo Monte","belo monte","9483918.71",16.0651081548528,0.0852358292719757,0.668336674388486
"20","ALboca da mata",270100,"2701001",0.604,"AL","boca da mata","Alagoas",7.27328688663116,3.97480999352691,0,25882,1,25882,1,"Sim","Masculino",1,"47",0.224422442244224,0.018796992481203,0.877887788778878,0.112781954887218,0,0,0,1,"AL","Boca da Mata","boca da mata","27990952.25",17.1473918819919,0.0622355621871087,0.741142200898038
"21","ALbranquinha",270110,"2701100",0.513,"AL","branquinha","Alagoas",7.30162677345392,4.02356438016105,0,12142,0,12142,0,"Não","Feminino",1,"41",0.100977198697068,0,0.985342019543974,0.0148760330578512,0,0,0,1,"AL","Branquinha","branquinha","14038092.84",16.4572851097283,0.0658305210903616,0.690646701297349
"22","ALcacimbinhas",270120,"2701209",0.531,"AL","cacimbinhas","Alagoas",7.2315402284142,4.94705631245338,0,10131,0,10131,0,"Não","Masculino",0,"57",0.369393139841689,0.00864553314121038,0.9155672823219,0.0461095100864553,1,0,0,0,"AL","Cacimbinhas","cacimbinhas","10094239.84",16.12747550625,0.0392586706444481,0.826057068120534
"23","ALcajueiro",270130,"2701308",0.562,"AL","cajueiro","Alagoas",7.28691747866925,4.00423748941596,0,20670,0,20670,0,"Sim","Masculino",0,"38",0.109619686800895,0,0.992170022371365,0.00789177001127396,0,0,0,1,"AL","Cajueiro","cajueiro","23985541.47",16.9929617680231,0.0641782327597168,0.69611923516517
"24","ALcampestre",270135,"2701357",0.559,"AL","campestre","Alagoas",7.34449293039441,4.53259949315326,0,6187,0,6187,0,"Não","Masculino",0,"55",0.189526184538653,0.0506329113924051,0.591022443890274,0.371308016877637,0,0,0,1,"AL","Campestre","campestre","8324804.78",15.934750143706,0.0924641619733397,0.68667903991827
"25","ALcampo alegre",270140,"2701407",0.57,"AL","campo alegre","Alagoas",7.25917946177058,4.23018578513351,0,46671,1,46671,0,"Sim","Masculino",1,"61",0.189224704336399,0.0480132450331126,0.793692509855453,0.0413907284768212,0,0,0,1,"AL","Campo Alegre","campo alegre","34957425.48",17.3696414641635,0.0598194730545183,0.732352381062701
"26","ALcampo grande",270150,"2701506",0.524,"AL","campo grande","Alagoas",7.22210605904229,4.78982235812033,0,9845,0,9845,0,"Sim","Masculino",0,"49",0.3715953307393,0.0783410138248848,0.844357976653696,0.0460829493087558,0,0,0,1,"AL","Campo Grande","campo grande","12286198.24",16.3239870960145,0.0407375661587951,0.826346951326238
"27","ALcanapi",270160,"2701605",0.506,"AL","canapi","Alagoas",7.20228882638302,5.36466674708957,0,18313,0,18313,0,"Sim","Masculino",1,"37",0.0939306358381503,0,0.965317919075145,0.0359281437125748,0,0,0,1,"AL","Canapi","canapi","20004909.96",16.8114882993886,0.0686958399077072,0.68405284026913
"28","ALcapela",270170,"2701704",0.573,"AL","capela","Alagoas",7.29168345675965,3.84929617551984,0,17504,1,17504,0,"Sim","Masculino",1,"58",0.100113765642776,0.0201729106628242,0.789533560864619,0.015850144092219,0,0,0,1,"AL","Capela","capela","21013162.96",16.8606596069449,0.0665226692674801,0.68981233075188
"30","ALcoqueiro seco",270220,"2702207",0.586,"AL","coqueiro seco","Alagoas",7.30074286557919,2.089391872533,0,5493,0,5493,0,"Não","Masculino",1,"42",0.267741935483871,0,0.861290322580645,0.161048689138577,0,0,0,1,"AL","Coqueiro Seco","coqueiro seco","7614755.78",15.8455984728844,0.0617199305465789,0.757245022610473
"31","ALcoruripe",270230,"2702306",0.626,"AL","coruripe","Alagoas",7.25827129560529,4.25362491986936,0,52584,1,52584,1,"Sim","Masculino",1,"29",0.197663971248877,0.0448760884125921,0.670709793351303,0.340924313462827,0,0,0,1,"AL","Coruripe","coruripe","76059831.44",18.1470308443168,0.0884123199122405,0.695207979410774
"32","ALdelmiro gouveia",270240,"2702405",0.612,"AL","delmiro gouveia","Alagoas",7.16303295432489,5.52102082103384,0,47991,1,47991,1,"Não","Masculino",0,"57",0.130892956184138,0,0.657237936772047,0.370464135021097,0,0,0,1,"AL","Delmiro Gouveia","delmiro gouveia","54747785.69",17.8182474818247,0.09765200669549,0.656872137214272
"33","ALdois riachos",270250,"2702504",0.532,"AL","dois riachos","Alagoas",7.22435274284761,5.0293916225787,0,11196,0,11196,0,"Não","Feminino",0,"39",0.229885057471264,0,0.934865900383142,0.069672131147541,0,0,0,1,"AL","Dois Riachos","dois riachos","11437846.31",16.2524382665775,0.0569003856830221,0.750205027663489
"34","ALestrela de alagoas",270255,"2702553",0.534,"AL","estrela de alagoas","Alagoas",7.24736544429428,4.75806293209123,0,17180,0,17180,0,"Não","Masculino",0,"54",0.242494226327945,0,0.967667436489607,0.0334128878281623,0,0,0,1,"AL","Estrela de Alagoas","estrela de alagoas","15763814.97",16.573227679725,0.051912700303355,0.761808181795296
"36","ALfeliz deserto",270270,"2702702",0.565,"AL","feliz deserto","Alagoas",7.24329136326374,4.53870981928782,0,4503,1,4503,0,"Não","Masculino",1,"30",0.140540540540541,0,0.82972972972973,0.205211726384365,0,0,0,1,"AL","Feliz Deserto","feliz deserto","10298134.46",16.1474733164072,0.0802425601034314,0.684838629085417
"37","ALflexeiras",270280,"2702801",0.527,"AL","flexeiras","Alagoas",7.31963973889248,3.77849161280362,0,12271,0,12271,0,"Não","Masculino",1,"46",0.0801630434782609,0,1,0,0,0,0,1,"AL","Flexeiras","flexeiras","16312455.79",16.6074395328519,0.0666765066242261,0.681866931587595
"38","ALgirau do ponciano",270290,"2702900",0.536,"AL","girau do ponciano","Alagoas",7.22250032323361,4.80655880549927,0,36250,1,36250,1,"Sim","Masculino",1,"26",0.100553505535055,0,0.967712177121771,0.0333651096282174,0,0,0,1,"AL","Girau do Ponciano","girau do ponciano","31754508.04",17.2735452587358,0.0677053787034505,0.687859350372212
"39","ALibateguara",270300,"2703007",0.518,"AL","ibateguara","Alagoas",7.31686042078867,4.38502214365368,0,15805,1,15805,0,"Sim","Feminino",1,"45",0.0975975975975976,0.0606060606060606,0.743243243243243,0.127272727272727,0,0,0,1,"AL","Ibateguara","ibateguara","15886116.59",16.5809561153148,0.0788188539552441,0.672534383346796
"40","ALigaci",270310,"2703106",0.564,"AL","igaci","Alagoas",7.24977637786709,4.60116216459055,0,25860,0,25860,0,"Não","Masculino",1,"28",0.195338512763596,0,0.964483906770255,0.0368239355581128,0,0,0,1,"AL","Igaci","igaci","22557776.06",16.9315904008342,0.0574981242337001,0.736765099816096
